DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.85,22.18,30.17,85.84,0.17,1.07,2.14,87.8,99.69,19.59,10.03
2000-01-02,2000,1,2,25.61,22.1,29.58,86.24,0.03,1.27,2.11,58.9,99.63,17.95,9.07
2000-01-03,2000,1,3,25.44,21.97,28.85,86.27,0.03,1.09,1.69,7.7,99.59,14.14,7.22
2000-01-04,2000,1,4,25.27,21.63,28.89,85.04,0.1,1.12,2.0,99.9,99.6,17.26,8.79
2000-01-05,2000,1,5,24.75,20.83,29.36,69.91,0.0,1.54,3.67,99.9,99.59,20.27,10.39
2000-01-06,2000,1,6,23.57,17.6,28.83,61.73,0.0,1.86,4.5,75.4,99.65,19.71,10.07
2000-01-07,2000,1,7,23.67,18.36,28.89,64.39,0.0,1.58,3.1,99.5,99.76,19.8,10.1
2000-01-08,2000,1,8,23.6,17.76,29.16,66.04,0.0,1.29,2.27,95.7,99.82,20.62,10.59
2000-01-09,2000,1,9,24.67,20.31,29.69,71.49,0.01,1.0,2.04,57.0,99.8,20.42,10.46
2000-01-10,2000,1,10,25.23,21.23,29.85,79.11,0.13,1.07,2.06,48.3,99.75,18.7,9.5
2000-01-11,2000,1,11,25.46,20.55,30.67,77.76,0.0,1.1,1.83,46.1,99.75,18.49,9.31
2000-01-12,2000,1,12,26.28,21.39,31.8,81.46,0.0,0.89,1.53,6.6,99.69,19.35,9.8
2000-01-13,2000,1,13,26.6,22.17,31.95,81.31,0.04,1.59,3.02,93.9,99.67,20.08,10.37
2000-01-14,2000,1,14,26.31,21.87,31.36,83.09,0.11,1.33,2.28,46.0,99.62,18.63,9.51
2000-01-15,2000,1,15,26.72,22.45,31.66,81.72,0.44,1.16,1.96,27.0,99.69,18.95,9.73
2000-01-16,2000,1,16,26.9,22.19,32.23,82.49,0.11,1.18,1.95,20.7,99.74,18.41,9.4
2000-01-17,2000,1,17,26.87,22.7,31.44,81.27,0.04,1.37,2.44,92.1,99.76,18.52,9.54
2000-01-18,2000,1,18,25.77,23.09,29.23,87.53,0.08,1.62,2.5,99.6,99.87,17.83,9.12
2000-01-19,2000,1,19,25.21,22.62,28.62,88.56,0.09,1.44,2.45,99.9,99.94,14.26,7.08
2000-01-20,2000,1,20,25.97,22.25,30.33,84.27,0.08,1.08,1.93,99.5,99.93,18.52,9.57
2000-01-21,2000,1,21,26.2,22.16,31.09,84.61,0.13,1.27,2.22,64.2,99.87,18.78,9.73
2000-01-22,2000,1,22,25.92,22.88,29.7,87.23,0.04,1.33,2.07,47.9,99.82,17.32,8.81
2000-01-23,2000,1,23,25.43,22.62,28.97,88.94,0.04,1.67,2.33,78.7,99.81,20.04,10.42
2000-01-24,2000,1,24,25.92,22.31,30.44,85.54,0.08,1.48,2.59,78.0,99.88,18.66,9.77
2000-01-25,2000,1,25,26.08,22.8,30.3,85.21,0.05,1.15,2.18,25.5,99.94,16.71,8.65
2000-01-26,2000,1,26,26.42,22.54,31.09,83.34,0.01,1.0,1.82,75.8,99.93,19.1,10.05
2000-01-27,2000,1,27,27.1,22.26,32.52,80.78,0.01,1.13,2.08,19.7,99.88,18.44,9.68
2000-01-28,2000,1,28,26.98,22.02,32.51,79.93,0.0,1.24,1.88,63.1,99.84,20.06,10.54
2000-01-29,2000,1,29,25.23,21.41,29.43,65.67,0.0,1.86,4.31,60.7,99.95,17.48,9.12
2000-01-30,2000,1,30,23.07,17.16,28.52,60.78,0.01,1.9,4.3,36.2,100.06,16.17,8.45
2000-01-31,2000,1,31,23.7,17.86,29.44,59.49,0.01,1.57,3.21,1.8,100.15,14.69,7.46
2000-02-01,2000,2,1,22.91,17.3,28.32,57.05,0.0,1.87,3.97,54.4,100.21,17.93,9.56
2000-02-02,2000,2,2,22.66,16.23,28.98,54.79,0.0,2.61,6.39,11.7,100.11,16.1,8.41
2000-02-03,2000,2,3,23.72,16.95,29.84,57.98,0.0,2.06,4.91,1.4,100.04,15.69,7.91
2000-02-04,2000,2,4,24.46,20.29,29.01,59.46,0.0,1.1,2.24,0.0,100.08,17.77,9.42
2000-02-05,2000,2,5,24.9,19.45,30.66,70.72,0.36,1.17,2.24,15.5,100.06,18.35,9.75
2000-02-06,2000,2,6,24.64,20.62,29.16,67.83,0.08,1.73,3.31,5.3,100.04,18.93,10.16
2000-02-07,2000,2,7,23.16,18.5,27.68,57.86,0.0,1.87,4.76,36.7,100.07,21.37,11.1
2000-02-08,2000,2,8,23.5,16.73,29.64,59.56,0.0,1.95,4.59,18.7,100.05,17.32,9.23
2000-02-09,2000,2,9,24.78,18.23,30.34,62.83,0.0,1.08,2.07,82.3,100.04,18.72,10.2
2000-02-10,2000,2,10,23.74,19.88,27.92,68.69,0.09,1.44,3.03,23.1,99.98,16.99,9.08
2000-02-11,2000,2,11,24.14,18.01,29.7,57.99,0.66,1.79,3.96,74.8,99.95,21.61,11.49
2000-02-12,2000,2,12,23.89,17.51,29.92,54.96,0.36,2.1,5.17,68.0,99.93,21.1,11.24
2000-02-13,2000,2,13,24.16,17.27,30.07,63.21,0.0,1.8,4.5,83.2,99.91,21.43,11.4
2000-02-14,2000,2,14,24.79,18.89,30.79,65.19,0.0,1.42,2.39,62.0,99.88,21.63,11.5
2000-02-15,2000,2,15,25.03,19.19,30.83,70.03,0.0,1.39,2.65,53.7,99.87,20.05,10.79
2000-02-16,2000,2,16,24.9,20.18,30.77,69.18,0.0,1.45,2.59,74.5,99.87,20.95,11.1
2000-02-17,2000,2,17,25.78,20.6,31.16,79.76,0.0,1.14,1.92,54.4,99.87,20.84,11.1
2000-02-18,2000,2,18,25.27,22.09,28.86,82.91,0.01,1.31,2.42,74.5,99.9,18.05,9.98
2000-02-19,2000,2,19,24.66,20.95,29.68,78.0,0.0,1.24,1.99,11.5,99.89,19.2,10.28
2000-02-20,2000,2,20,26.21,20.63,32.17,79.48,0.0,1.25,2.13,68.5,99.86,21.64,11.49
2000-02-21,2000,2,21,26.71,22.63,31.68,81.73,0.0,1.44,2.32,59.3,99.89,21.0,11.14
2000-02-22,2000,2,22,26.11,22.81,30.23,85.23,0.0,1.29,2.01,86.3,99.84,21.18,11.25
2000-02-23,2000,2,23,26.74,22.54,31.97,83.8,0.0,1.52,2.69,31.9,99.74,20.16,10.94
2000-02-24,2000,2,24,26.35,23.45,30.05,85.76,0.0,1.47,1.96,56.0,99.77,21.15,11.08
