DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,27.75,18.99,36.57,23.51,0.0,1.24,2.7,2.8,96.84,23.07,10.31
2000-01-02,2000,1,2,27.42,18.23,36.91,24.66,0.0,1.56,3.04,45.5,96.78,20.85,8.58
2000-01-03,2000,1,3,27.05,17.6,36.03,24.26,0.0,1.47,3.19,16.4,96.77,18.53,7.42
2000-01-04,2000,1,4,26.61,17.53,35.37,22.89,0.0,1.59,3.08,41.9,96.8,18.01,7.08
2000-01-05,2000,1,5,25.3,16.73,34.83,25.88,0.0,1.85,2.95,99.5,96.82,22.25,9.56
2000-01-06,2000,1,6,25.27,16.59,34.51,26.77,0.0,1.52,2.36,98.1,96.89,21.68,9.28
2000-01-07,2000,1,7,25.2,16.89,34.96,27.32,0.0,1.74,3.09,97.3,96.94,22.91,10.2
2000-01-08,2000,1,8,24.94,16.93,34.61,27.6,0.0,1.92,3.62,57.0,97.03,21.67,9.19
2000-01-09,2000,1,9,25.39,17.38,33.52,26.24,0.0,1.54,3.46,47.7,97.02,20.29,8.43
2000-01-10,2000,1,10,25.34,17.37,34.96,26.77,0.0,2.04,3.98,7.7,96.99,16.51,6.88
2000-01-11,2000,1,11,25.93,17.02,35.3,25.79,0.0,2.46,4.82,65.8,97.0,21.48,9.12
2000-01-12,2000,1,12,27.12,17.68,36.15,23.66,0.0,1.96,3.92,0.0,96.87,19.46,7.82
2000-01-13,2000,1,13,28.69,19.38,36.61,19.76,0.0,1.13,2.93,7.9,96.81,18.19,7.99
2000-01-14,2000,1,14,29.6,20.86,37.75,16.62,0.0,0.85,1.86,23.1,96.71,20.59,8.62
2000-01-15,2000,1,15,29.11,20.96,37.85,18.6,0.0,1.56,3.29,0.0,96.81,21.2,8.9
2000-01-16,2000,1,16,28.2,19.18,38.12,21.46,0.0,2.33,4.26,10.1,96.91,18.02,7.48
2000-01-17,2000,1,17,28.03,20.36,37.89,21.59,0.0,2.41,4.04,1.6,96.92,17.93,7.36
2000-01-18,2000,1,18,27.64,19.07,36.78,20.48,0.0,1.63,3.31,99.9,96.97,22.62,10.03
2000-01-19,2000,1,19,27.99,18.83,37.06,19.53,0.0,2.19,4.3,22.9,97.03,20.25,8.61
2000-01-20,2000,1,20,28.34,19.31,37.69,19.09,0.0,2.54,5.04,98.9,97.07,20.13,8.8
2000-01-21,2000,1,21,28.04,19.07,37.68,19.23,0.0,2.88,5.6,22.5,97.01,20.0,8.4
2000-01-22,2000,1,22,28.35,18.91,38.17,18.17,0.0,2.43,4.46,0.7,96.93,19.01,8.16
2000-01-23,2000,1,23,28.4,19.46,38.11,16.5,0.0,2.37,4.58,1.9,96.85,20.35,8.79
2000-01-24,2000,1,24,29.81,20.5,38.65,16.72,0.0,1.79,3.51,77.5,96.9,23.59,10.55
2000-01-25,2000,1,25,29.84,22.66,38.66,16.25,0.0,1.71,3.52,97.8,96.99,21.58,9.47
2000-01-26,2000,1,26,28.63,18.53,39.05,14.12,0.0,2.58,5.04,0.3,97.04,18.81,8.18
2000-01-27,2000,1,27,28.53,18.63,39.5,14.49,0.0,3.23,6.0,0.3,97.07,21.09,8.54
2000-01-28,2000,1,28,27.12,19.18,36.9,16.01,0.0,3.21,6.05,3.0,97.1,18.19,7.97
2000-01-29,2000,1,29,24.62,17.93,32.92,17.49,0.0,2.59,5.33,69.2,97.26,21.4,9.6
2000-01-30,2000,1,30,24.42,16.24,33.4,17.19,0.0,1.65,3.13,38.2,97.29,19.47,8.54
2000-01-31,2000,1,31,24.14,16.08,33.22,15.47,0.0,1.7,2.87,68.5,97.38,21.46,9.51
2000-02-01,2000,2,1,23.54,14.76,33.19,16.02,0.0,2.22,3.6,65.7,97.47,23.48,10.6
2000-02-02,2000,2,2,24.17,16.25,32.88,17.1,0.0,1.93,3.86,74.1,97.4,23.29,10.58
2000-02-03,2000,2,3,24.75,17.01,33.28,18.35,0.0,1.9,3.57,11.3,97.34,20.15,8.44
2000-02-04,2000,2,4,26.07,17.83,35.14,18.57,0.0,1.62,3.24,1.2,97.28,19.93,8.97
2000-02-05,2000,2,5,25.71,17.14,35.0,20.12,0.0,1.81,3.46,0.0,97.24,22.98,10.43
2000-02-06,2000,2,6,25.86,16.97,35.68,19.68,0.0,2.13,4.17,0.0,97.25,24.85,11.11
2000-02-07,2000,2,7,25.54,17.62,34.84,19.75,0.0,2.21,3.84,77.7,97.27,21.91,10.11
2000-02-08,2000,2,8,25.75,18.0,34.48,21.11,0.0,2.08,3.68,72.6,97.25,21.66,10.11
2000-02-09,2000,2,9,25.96,17.81,34.89,23.45,0.0,2.1,3.79,43.4,97.21,21.27,9.55
2000-02-10,2000,2,10,25.64,18.66,33.2,20.65,0.0,2.19,4.27,49.9,97.2,22.31,10.08
2000-02-11,2000,2,11,25.48,17.69,34.17,18.25,0.0,2.33,3.38,4.3,97.19,21.15,9.76
2000-02-12,2000,2,12,25.38,17.54,34.21,16.51,0.0,2.35,4.43,59.0,97.19,22.92,10.36
2000-02-13,2000,2,13,25.57,16.79,34.54,16.07,0.0,2.03,3.9,37.6,97.15,23.75,10.73
2000-02-14,2000,2,14,26.32,17.26,35.55,17.61,0.0,1.55,3.13,11.8,97.05,17.71,8.46
2000-02-15,2000,2,15,26.86,17.86,36.57,17.39,0.0,1.87,3.37,16.2,97.04,20.74,9.34
2000-02-16,2000,2,16,27.64,17.81,36.87,17.77,0.0,1.66,3.42,0.0,97.02,24.14,10.68
2000-02-17,2000,2,17,27.42,18.94,36.27,19.82,0.0,1.84,3.31,39.7,97.03,22.13,10.22
2000-02-18,2000,2,18,27.77,19.02,36.82,19.36,0.0,1.77,3.11,5.6,97.05,20.86,9.31
2000-02-19,2000,2,19,28.35,19.66,37.76,19.23,0.0,2.23,3.89,1.8,97.03,20.63,9.55
2000-02-20,2000,2,20,29.5,20.76,39.06,18.46,0.0,1.87,3.59,24.2,96.93,24.33,11.24
