DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,24.63,15.65,34.63,23.43,0.0,2.5,4.11,9.3,95.03,21.6,9.56
2000-01-02,2000,1,2,25.05,16.44,35.18,23.59,0.0,2.67,4.42,21.9,94.97,21.25,9.24
2000-01-03,2000,1,3,24.42,16.24,33.97,19.37,0.0,3.44,5.55,0.9,94.97,22.18,9.88
2000-01-04,2000,1,4,23.48,15.15,33.59,22.54,0.0,3.39,4.5,19.1,95.0,19.73,8.59
2000-01-05,2000,1,5,22.55,15.43,31.47,27.47,0.0,3.71,5.69,98.4,95.06,22.77,10.63
2000-01-06,2000,1,6,22.36,14.66,31.63,29.18,0.0,3.24,4.99,62.0,95.1,21.44,9.5
2000-01-07,2000,1,7,22.43,14.63,31.62,28.51,0.0,3.75,5.2,67.1,95.18,20.46,8.94
2000-01-08,2000,1,8,22.01,14.67,31.17,27.89,0.0,3.44,6.07,81.0,95.24,22.62,10.08
2000-01-09,2000,1,9,22.21,14.39,31.46,29.43,0.0,3.15,5.57,1.2,95.21,20.91,9.16
2000-01-10,2000,1,10,23.25,14.81,32.78,28.17,0.0,3.41,4.69,49.4,95.18,21.24,9.31
2000-01-11,2000,1,11,23.32,15.38,32.87,26.43,0.0,3.49,5.36,2.1,95.19,18.8,8.27
2000-01-12,2000,1,12,23.69,15.13,33.65,24.35,0.0,2.88,4.81,0.0,95.08,19.92,8.65
2000-01-13,2000,1,13,24.95,15.59,34.73,24.71,0.0,1.7,3.71,1.2,94.95,21.94,9.69
2000-01-14,2000,1,14,27.03,19.87,35.83,22.83,0.0,1.31,2.11,0.0,94.86,20.88,9.11
2000-01-15,2000,1,15,26.06,17.27,36.04,23.33,0.0,2.27,4.47,0.0,94.98,20.73,9.18
2000-01-16,2000,1,16,25.94,17.33,35.72,22.25,0.0,3.63,5.62,0.0,95.13,22.75,10.07
2000-01-17,2000,1,17,25.32,17.73,34.37,23.48,0.0,4.11,6.77,24.4,95.17,22.55,10.05
2000-01-18,2000,1,18,24.63,16.2,34.37,22.05,0.0,3.0,5.47,93.5,95.17,20.54,9.29
2000-01-19,2000,1,19,25.43,17.8,34.32,21.4,0.0,2.99,5.12,31.1,95.2,18.3,8.42
2000-01-20,2000,1,20,26.52,18.13,36.02,19.21,0.0,3.55,5.74,79.5,95.24,22.39,10.16
2000-01-21,2000,1,21,26.12,17.33,36.11,20.45,0.0,3.82,6.67,9.0,95.18,21.75,9.84
2000-01-22,2000,1,22,26.32,17.41,36.53,19.32,0.0,3.54,6.41,3.7,95.1,22.39,10.13
2000-01-23,2000,1,23,26.55,17.17,36.94,17.58,0.0,2.72,5.41,1.4,95.0,22.96,10.4
2000-01-24,2000,1,24,26.96,18.79,35.97,16.46,0.0,1.89,4.36,22.9,95.09,22.51,10.54
2000-01-25,2000,1,25,26.6,17.69,36.55,16.04,0.0,2.81,5.61,50.8,95.19,22.94,10.67
2000-01-26,2000,1,26,26.37,17.44,36.84,15.14,0.0,3.87,6.83,4.3,95.24,21.8,10.15
2000-01-27,2000,1,27,26.3,17.47,36.16,15.58,0.0,4.89,7.96,3.4,95.32,19.52,8.54
2000-01-28,2000,1,28,24.73,17.81,32.98,17.51,0.0,5.2,7.93,1.9,95.36,12.64,6.95
2000-01-29,2000,1,29,21.88,15.08,30.25,17.71,0.0,4.44,6.38,75.1,95.47,18.85,9.1
2000-01-30,2000,1,30,21.02,13.45,30.56,14.76,0.0,3.55,5.19,65.7,95.49,21.58,10.15
2000-01-31,2000,1,31,20.57,12.25,29.9,13.76,0.0,3.95,6.45,77.6,95.6,23.59,11.06
2000-02-01,2000,2,1,20.34,13.01,29.1,17.36,0.0,4.09,7.0,71.0,95.69,23.03,10.85
2000-02-02,2000,2,2,20.67,13.56,29.2,20.66,0.0,4.36,7.11,54.2,95.63,21.09,10.11
2000-02-03,2000,2,3,21.16,13.88,29.91,21.08,0.0,3.8,6.19,5.1,95.53,19.44,9.34
2000-02-04,2000,2,4,22.04,14.14,31.25,22.09,0.0,3.31,5.43,0.0,95.49,18.72,8.39
2000-02-05,2000,2,5,22.66,15.18,31.55,21.68,0.0,3.42,5.59,0.0,95.44,17.65,8.65
2000-02-06,2000,2,6,22.14,14.37,30.5,20.53,0.0,3.36,5.73,0.1,95.47,20.52,9.9
2000-02-07,2000,2,7,22.5,15.37,31.03,18.53,0.0,4.1,6.46,91.8,95.51,19.21,9.64
