DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.45,23.07,28.53,91.65,0.0,1.21,1.6,88.5,100.58,13.47,7.16
2000-01-02,2000,1,2,26.14,23.02,30.22,88.37,0.0,1.15,1.43,50.8,100.49,19.07,9.52
2000-01-03,2000,1,3,25.95,23.4,28.82,89.56,0.0,1.02,1.45,12.6,100.46,16.79,8.48
2000-01-04,2000,1,4,25.61,23.55,28.34,92.01,0.0,1.06,1.5,99.9,100.46,18.15,9.01
2000-01-05,2000,1,5,26.1,22.91,30.5,82.9,0.0,1.14,1.96,99.9,100.43,20.17,10.13
2000-01-06,2000,1,6,24.85,20.0,29.03,67.34,0.0,1.35,2.73,69.9,100.53,19.48,9.79
2000-01-07,2000,1,7,24.92,20.48,29.28,73.52,0.0,1.14,1.64,91.7,100.62,19.92,10.05
2000-01-08,2000,1,8,26.04,21.67,30.5,78.51,0.03,0.91,1.23,99.1,100.65,19.69,9.94
2000-01-09,2000,1,9,26.07,22.26,29.91,79.67,0.26,1.01,1.6,36.4,100.64,18.62,9.36
2000-01-10,2000,1,10,26.04,23.2,29.68,83.36,0.4,0.85,1.21,25.8,100.6,17.26,8.8
2000-01-11,2000,1,11,26.51,22.34,31.25,81.45,0.01,1.1,1.68,32.9,100.59,19.66,9.84
2000-01-12,2000,1,12,26.67,23.21,31.16,86.57,0.27,1.25,1.76,22.3,100.56,18.29,9.22
2000-01-13,2000,1,13,26.58,23.32,31.13,86.21,0.63,1.61,2.26,99.1,100.55,16.95,8.7
2000-01-14,2000,1,14,26.42,23.11,30.59,86.53,0.3,1.46,1.9,37.3,100.5,17.14,8.87
2000-01-15,2000,1,15,26.76,23.55,30.69,84.9,0.87,0.99,1.62,25.5,100.57,18.28,9.28
2000-01-16,2000,1,16,26.97,23.79,31.07,85.61,0.06,1.08,1.67,62.9,100.63,18.98,9.81
2000-01-17,2000,1,17,26.95,24.03,30.66,86.33,0.03,1.25,1.83,99.9,100.66,15.32,7.97
2000-01-18,2000,1,18,26.01,24.2,28.88,89.7,0.04,1.5,2.2,98.8,100.76,13.59,7.25
2000-01-19,2000,1,19,25.23,23.43,27.81,90.95,0.04,1.36,2.01,87.9,100.82,10.63,5.37
2000-01-20,2000,1,20,25.84,23.16,29.19,86.87,0.04,0.92,1.45,96.1,100.81,17.62,9.11
2000-01-21,2000,1,21,26.42,23.09,30.37,87.01,0.04,1.14,1.56,47.3,100.74,18.43,9.56
2000-01-22,2000,1,22,26.03,23.97,28.79,89.45,0.01,1.28,1.68,37.0,100.71,21.0,10.83
2000-01-23,2000,1,23,25.65,23.54,28.72,91.37,0.01,1.59,2.17,73.2,100.69,17.99,9.28
2000-01-24,2000,1,24,26.34,23.59,30.34,87.05,0.02,1.56,2.13,87.9,100.75,16.1,8.47
2000-01-25,2000,1,25,25.94,23.43,29.41,88.73,0.02,1.14,1.52,20.8,100.82,19.55,10.14
2000-01-26,2000,1,26,26.47,23.13,30.45,86.76,0.0,0.93,1.58,63.2,100.81,17.72,9.43
2000-01-27,2000,1,27,27.43,23.22,32.19,82.31,0.0,0.95,1.55,14.4,100.75,18.4,9.81
2000-01-28,2000,1,28,27.33,23.12,32.58,83.57,0.0,1.39,2.08,44.1,100.72,19.15,10.07
2000-01-29,2000,1,29,26.11,23.27,29.59,69.54,0.0,1.81,3.61,66.7,100.82,17.86,9.43
2000-01-30,2000,1,30,24.76,19.62,29.31,61.67,0.0,1.59,3.18,27.3,100.94,16.84,8.7
2000-01-31,2000,1,31,24.8,19.59,29.99,69.33,0.0,1.32,2.07,0.0,101.02,14.13,7.54
2000-02-01,2000,2,1,23.72,20.22,28.79,70.55,0.01,1.78,2.92,87.6,101.07,14.78,7.93
2000-02-02,2000,2,2,23.51,17.87,28.8,56.56,0.0,2.02,4.56,22.0,100.98,18.64,9.87
2000-02-03,2000,2,3,24.36,18.76,29.7,58.46,0.0,1.77,3.94,0.5,100.91,16.35,8.44
2000-02-04,2000,2,4,25.39,19.26,30.54,60.13,0.0,1.02,1.69,0.0,100.95,16.65,8.64
2000-02-05,2000,2,5,25.07,20.64,30.21,79.57,0.23,1.3,1.99,41.7,100.94,17.95,9.77
