DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,26.86,20.34,34.5,59.37,0.0,1.2,1.99,3.0,99.22,15.73,7.17
2000-01-02,2000,1,2,26.39,20.86,34.01,60.15,0.0,1.43,3.16,61.4,99.18,18.39,8.48
2000-01-03,2000,1,3,25.83,19.39,33.5,54.8,0.0,1.42,2.9,0.1,99.17,18.09,8.29
2000-01-04,2000,1,4,25.47,18.29,33.36,46.47,0.0,1.95,4.15,79.1,99.18,20.66,9.88
2000-01-05,2000,1,5,24.79,17.12,33.75,41.73,0.0,2.68,6.29,99.9,99.17,21.38,10.31
2000-01-06,2000,1,6,24.23,16.84,33.44,41.62,0.0,3.28,7.13,99.4,99.21,20.96,10.13
2000-01-07,2000,1,7,24.3,16.32,33.99,44.14,0.0,2.77,5.89,94.8,99.29,21.33,10.32
2000-01-08,2000,1,8,24.36,16.77,33.26,44.05,0.0,2.67,6.26,70.6,99.38,22.32,10.77
2000-01-09,2000,1,9,25.12,17.82,33.57,43.9,0.0,2.29,5.55,24.6,99.38,19.47,9.1
2000-01-10,2000,1,10,24.92,17.13,34.21,43.56,0.0,2.8,6.05,39.5,99.32,19.99,9.47
2000-01-11,2000,1,11,25.12,17.07,34.75,43.88,0.0,2.85,5.58,90.2,99.33,21.16,10.23
2000-01-12,2000,1,12,25.83,17.2,34.94,45.95,0.0,1.85,3.35,0.0,99.26,19.82,9.39
2000-01-13,2000,1,13,26.42,19.28,35.16,65.03,0.0,1.15,1.77,49.7,99.21,21.54,10.33
2000-01-14,2000,1,14,27.25,19.69,35.53,66.34,0.01,1.64,2.44,37.4,99.13,20.28,9.66
2000-01-15,2000,1,15,28.59,21.97,36.05,62.95,0.06,1.77,2.92,45.1,99.2,19.75,9.47
2000-01-16,2000,1,16,28.5,20.73,37.01,53.6,0.01,1.51,3.27,1.8,99.27,20.91,10.08
