DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,24.2,15.46,34.36,22.29,0.0,2.51,4.39,4.5,97.27,23.55,10.32
2000-01-02,2000,1,2,25.01,16.26,35.3,22.04,0.0,2.96,4.54,12.5,97.2,21.38,8.47
2000-01-03,2000,1,3,24.49,16.23,34.5,20.13,0.0,3.16,4.93,9.3,97.18,17.32,6.66
2000-01-04,2000,1,4,23.62,15.71,33.22,22.12,0.0,3.25,4.42,4.5,97.25,15.63,6.51
2000-01-05,2000,1,5,23.12,15.97,31.86,28.52,0.0,3.93,5.81,95.7,97.3,22.62,9.83
2000-01-06,2000,1,6,22.91,15.52,31.88,29.79,0.0,2.96,4.28,80.6,97.34,21.83,9.12
2000-01-07,2000,1,7,22.76,15.63,31.65,28.77,0.0,3.61,5.72,85.0,97.43,22.56,9.67
2000-01-08,2000,1,8,22.44,15.19,31.48,27.88,0.0,3.43,6.14,39.7,97.5,21.08,8.2
2000-01-09,2000,1,9,23.02,15.29,31.82,27.69,0.0,3.14,5.41,31.1,97.46,18.86,6.94
2000-01-10,2000,1,10,24.41,17.23,33.34,26.22,0.0,3.54,4.89,2.6,97.44,18.1,6.69
2000-01-11,2000,1,11,24.23,16.09,33.89,24.2,0.0,3.49,5.39,16.5,97.45,18.43,6.81
2000-01-12,2000,1,12,24.67,15.75,34.72,22.7,0.0,2.86,4.66,0.7,97.3,18.38,6.74
2000-01-13,2000,1,13,25.32,15.69,34.87,21.5,0.0,1.92,4.02,1.8,97.19,20.01,7.39
2000-01-14,2000,1,14,26.33,17.41,36.3,20.63,0.0,1.71,2.8,4.1,97.08,20.67,7.77
2000-01-15,2000,1,15,26.31,17.28,36.65,21.17,0.0,2.6,4.57,0.3,97.22,20.39,7.63
2000-01-16,2000,1,16,26.3,17.54,36.23,21.4,0.0,3.69,5.92,0.9,97.37,18.67,6.97
2000-01-17,2000,1,17,25.34,17.94,34.69,21.46,0.0,3.96,6.79,8.2,97.39,20.54,7.76
2000-01-18,2000,1,18,24.39,16.06,34.18,22.73,0.0,3.19,5.51,85.0,97.4,22.09,9.39
2000-01-19,2000,1,19,25.21,16.51,34.77,20.71,0.0,3.08,5.16,14.2,97.45,21.02,8.2
2000-01-20,2000,1,20,26.61,17.71,36.67,18.69,0.0,3.86,5.61,91.5,97.5,21.89,9.24
2000-01-21,2000,1,21,26.8,17.4,36.76,19.47,0.0,4.48,7.42,17.5,97.45,20.3,7.8
2000-01-22,2000,1,22,26.99,18.25,37.28,16.49,0.0,4.22,6.83,3.4,97.35,20.31,7.69
2000-01-23,2000,1,23,26.78,17.57,37.64,15.61,0.0,3.06,5.6,1.2,97.24,21.01,8.44
2000-01-24,2000,1,24,26.88,16.95,37.94,16.41,0.0,2.46,4.93,46.1,97.27,21.38,8.69
2000-01-25,2000,1,25,27.48,18.19,37.72,14.43,0.0,3.39,5.49,55.0,97.4,21.67,8.99
2000-01-26,2000,1,26,26.97,17.88,37.44,15.29,0.0,3.86,6.7,3.9,97.48,20.13,7.69
2000-01-27,2000,1,27,26.84,17.79,36.96,16.2,0.0,4.82,7.45,2.4,97.57,20.68,7.96
2000-01-28,2000,1,28,24.21,17.83,31.95,18.41,0.0,5.62,8.03,50.8,97.68,22.1,9.44
2000-01-29,2000,1,29,20.96,14.21,29.29,18.99,0.0,4.68,7.03,58.1,97.78,23.9,10.39
2000-01-30,2000,1,30,20.21,12.58,29.64,15.07,0.0,3.44,5.24,52.1,97.77,21.98,9.27
2000-01-31,2000,1,31,20.18,12.22,29.41,15.3,0.0,3.78,6.3,45.9,97.9,21.86,9.19
2000-02-01,2000,2,1,20.6,13.39,29.49,18.08,0.0,4.06,6.92,40.3,97.97,24.07,10.3
2000-02-02,2000,2,2,21.21,13.62,29.87,19.99,0.0,4.47,6.95,46.9,97.91,23.73,10.06
2000-02-03,2000,2,3,21.88,14.63,30.56,20.29,0.0,3.62,6.07,2.5,97.81,22.18,9.21
2000-02-04,2000,2,4,22.61,14.9,31.47,21.18,0.0,3.32,5.66,1.4,97.77,22.49,9.31
2000-02-05,2000,2,5,22.92,15.14,31.92,19.85,0.0,3.69,5.88,1.5,97.71,23.31,9.7
2000-02-06,2000,2,6,22.99,14.8,31.94,18.95,0.0,3.67,5.61,0.0,97.74,23.6,9.92
2000-02-07,2000,2,7,22.36,15.21,30.12,20.5,0.0,3.78,5.98,75.1,97.76,24.04,10.22
2000-02-08,2000,2,8,22.57,15.55,31.08,24.23,0.0,3.69,6.34,21.9,97.73,23.35,9.74
2000-02-09,2000,2,9,22.42,15.6,30.42,24.65,0.0,3.63,5.07,43.0,97.71,22.64,9.41
