DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,26.44,23.65,30.19,86.02,0.78,1.05,1.75,99.9,100.3,12.86,6.08
2000-01-02,2000,1,2,26.13,23.51,29.46,87.07,0.15,1.3,2.19,16.3,100.23,20.24,10.53
2000-01-03,2000,1,3,26.14,23.42,29.04,87.53,0.28,1.11,1.49,16.3,100.19,20.9,10.95
2000-01-04,2000,1,4,26.07,23.4,29.27,86.8,0.47,1.25,2.19,95.2,100.19,17.81,9.05
2000-01-05,2000,1,5,24.61,21.51,28.94,77.5,0.01,1.64,3.23,99.9,100.19,19.25,9.85
2000-01-06,2000,1,6,24.84,19.51,29.68,65.0,0.0,1.31,2.83,96.0,100.22,19.47,10.03
2000-01-07,2000,1,7,24.8,20.68,28.98,66.82,0.0,1.39,2.64,94.9,100.35,20.21,10.57
2000-01-08,2000,1,8,25.05,19.88,29.5,67.06,0.0,1.26,2.51,99.9,100.42,18.46,9.4
2000-01-09,2000,1,9,26.28,23.07,30.53,79.63,0.02,0.8,1.32,97.0,100.39,19.84,10.36
2000-01-10,2000,1,10,26.62,23.32,31.21,81.68,0.03,0.99,1.63,64.7,100.33,18.73,9.59
2000-01-11,2000,1,11,26.45,23.02,30.84,82.47,0.01,1.0,1.45,6.1,100.34,21.13,11.1
2000-01-12,2000,1,12,26.71,23.47,31.1,84.16,0.02,1.04,1.54,20.3,100.3,19.41,10.08
2000-01-13,2000,1,13,27.05,23.19,31.49,82.86,0.06,1.37,2.62,97.8,100.27,13.83,7.31
2000-01-14,2000,1,14,26.37,23.11,30.34,85.56,0.41,1.43,1.94,10.1,100.23,18.47,9.34
2000-01-15,2000,1,15,26.71,23.46,30.75,84.61,0.59,1.2,1.85,26.1,100.3,19.61,10.23
2000-01-16,2000,1,16,26.81,23.46,30.99,85.91,0.31,1.46,2.01,46.9,100.36,19.8,10.36
2000-01-17,2000,1,17,26.93,23.71,30.51,84.73,0.14,1.49,2.68,79.2,100.37,16.11,8.51
2000-01-18,2000,1,18,26.3,24.44,29.09,88.97,0.32,1.81,2.75,93.5,100.46,14.48,7.58
2000-01-19,2000,1,19,25.63,23.85,28.06,89.58,0.29,1.5,2.12,98.5,100.54,14.65,7.79
2000-01-20,2000,1,20,26.03,23.29,29.33,87.33,0.19,0.84,1.41,76.4,100.54,17.92,9.26
2000-01-21,2000,1,21,26.17,23.73,29.58,88.81,1.54,1.43,1.95,89.4,100.48,13.87,7.04
2000-01-22,2000,1,22,25.96,23.68,28.73,89.16,0.73,1.3,1.84,16.3,100.43,20.0,10.49
2000-01-23,2000,1,23,25.52,23.49,28.26,90.5,0.67,1.57,2.0,98.5,100.41,15.37,8.23
2000-01-24,2000,1,24,25.76,22.95,29.44,87.96,1.58,1.48,2.04,89.8,100.5,16.1,8.55
2000-01-25,2000,1,25,26.59,23.35,30.51,84.26,0.62,1.16,1.82,42.1,100.54,19.2,10.13
2000-01-26,2000,1,26,26.85,23.82,30.95,84.65,0.29,1.09,1.6,42.9,100.53,20.11,10.58
2000-01-27,2000,1,27,27.32,23.77,32.05,83.41,0.25,1.18,1.97,30.5,100.5,20.37,10.81
2000-01-28,2000,1,28,27.43,23.82,32.2,83.36,0.04,1.38,1.98,52.7,100.44,21.6,11.48
2000-01-29,2000,1,29,26.83,23.47,30.7,78.88,0.02,1.12,2.28,56.7,100.51,19.22,10.16
2000-01-30,2000,1,30,24.48,19.55,28.3,67.68,0.17,1.14,2.73,64.3,100.65,18.97,10.04
2000-01-31,2000,1,31,25.48,22.8,29.29,64.21,0.47,0.96,1.5,7.9,100.74,18.57,9.73
2000-02-01,2000,2,1,24.89,22.29,29.07,68.08,0.31,1.42,2.81,89.8,100.79,15.64,8.42
2000-02-02,2000,2,2,24.58,18.88,30.24,59.29,0.0,1.74,4.08,31.9,100.67,19.29,10.18
2000-02-03,2000,2,3,26.51,20.98,32.1,63.04,0.02,0.86,1.14,0.0,100.61,21.92,11.74
2000-02-04,2000,2,4,26.5,23.68,30.61,70.59,0.01,1.2,1.61,1.4,100.67,22.17,11.67
2000-02-05,2000,2,5,26.37,23.03,30.74,79.67,0.92,1.44,2.41,41.8,100.65,19.98,10.65
2000-02-06,2000,2,6,24.41,21.45,28.67,75.17,0.15,1.95,3.36,24.3,100.64,20.86,11.03
2000-02-07,2000,2,7,24.89,19.03,29.98,59.1,0.0,1.02,2.36,41.8,100.65,20.48,10.75
2000-02-08,2000,2,8,25.89,21.41,30.45,63.56,0.04,0.8,1.39,92.7,100.63,17.58,9.61
2000-02-09,2000,2,9,26.4,23.45,30.12,72.81,0.82,0.95,1.26,92.0,100.64,17.76,9.2
2000-02-10,2000,2,10,25.64,22.74,29.79,74.88,1.27,1.45,2.72,47.2,100.56,20.49,10.87
2000-02-11,2000,2,11,24.89,19.61,29.62,61.13,2.73,1.48,3.04,89.8,100.54,19.36,10.32
2000-02-12,2000,2,12,25.57,19.96,30.49,58.82,1.63,1.36,2.62,96.0,100.51,18.31,9.93
2000-02-13,2000,2,13,25.7,21.08,30.95,72.55,0.0,1.26,1.64,93.8,100.5,20.24,10.75
2000-02-14,2000,2,14,26.51,22.85,31.03,67.79,0.0,1.1,1.49,77.0,100.48,21.15,11.24
2000-02-15,2000,2,15,26.56,22.56,30.99,73.2,0.02,1.47,2.75,39.2,100.47,21.5,11.56
2000-02-16,2000,2,16,26.54,23.5,30.99,76.15,0.06,1.41,2.37,94.1,100.46,20.49,10.81
2000-02-17,2000,2,17,26.8,23.06,31.04,81.31,0.0,1.35,1.87,30.1,100.46,21.54,11.35
2000-02-18,2000,2,18,26.11,23.63,28.97,84.37,0.18,1.39,2.04,42.9,100.5,21.8,11.34
2000-02-19,2000,2,19,26.32,23.12,30.77,76.51,0.02,1.48,2.03,16.7,100.49,22.48,12.0
2000-02-20,2000,2,20,27.17,23.63,31.41,79.36,0.0,1.41,2.0,83.6,100.46,21.01,11.1
2000-02-21,2000,2,21,27.16,24.21,30.93,82.4,0.0,1.67,2.44,50.5,100.49,17.73,9.37
2000-02-22,2000,2,22,26.96,24.01,30.71,84.32,0.0,1.5,1.98,80.3,100.45,17.34,9.19
2000-02-23,2000,2,23,27.22,24.15,31.36,84.3,0.0,1.6,2.44,29.8,100.34,21.21,11.27
2000-02-24,2000,2,24,26.72,24.32,29.66,86.95,0.0,1.52,1.91,67.2,100.38,21.26,11.22
2000-02-25,2000,2,25,27.37,24.17,31.82,82.93,0.05,1.12,2.19,24.0,100.41,22.44,11.97
2000-02-26,2000,2,26,27.45,23.73,32.06,78.33,0.03,1.46,2.62,16.7,100.41,22.14,11.78
2000-02-27,2000,2,27,24.88,19.6,29.29,71.8,0.0,1.49,3.32,99.9,100.39,16.38,8.62
2000-02-28,2000,2,28,25.56,20.57,31.36,68.28,0.0,1.48,2.7,99.2,100.48,16.61,8.66
2000-02-29,2000,2,29,26.68,23.05,32.73,70.66,0.0,1.0,1.93,72.7,100.59,20.78,10.96
2000-03-01,2000,3,1,26.39,23.37,30.67,75.72,0.0,1.43,2.42,0.7,100.57,17.69,9.05
2000-03-02,2000,3,2,26.47,22.19,31.54,75.48,0.0,1.44,1.9,18.9,100.51,18.53,9.57
2000-03-03,2000,3,3,27.34,24.22,31.37,81.38,0.02,1.27,1.61,42.1,100.5,19.01,9.96
