DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.67,21.51,30.71,84.39,0.02,1.32,2.45,33.4,99.57,17.39,8.96
2000-01-02,2000,1,2,26.11,22.29,30.99,82.85,0.0,1.42,2.07,71.5,99.49,16.67,8.58
2000-01-03,2000,1,3,25.81,22.17,29.92,84.56,0.0,1.43,2.46,10.1,99.46,17.04,8.79
2000-01-04,2000,1,4,25.27,21.8,29.84,84.58,0.01,1.17,1.92,98.6,99.47,17.38,8.97
2000-01-05,2000,1,5,25.21,21.0,30.11,68.6,0.0,1.59,3.49,99.7,99.46,21.17,10.69
2000-01-06,2000,1,6,23.8,17.72,29.87,58.34,0.0,1.93,4.3,76.8,99.53,19.12,9.79
2000-01-07,2000,1,7,23.6,18.14,29.61,63.64,0.0,1.71,3.09,77.6,99.63,20.89,10.56
2000-01-08,2000,1,8,23.44,17.9,29.64,66.18,0.0,1.58,2.75,59.7,99.69,18.52,9.42
2000-01-09,2000,1,9,23.98,18.83,29.88,64.1,0.0,1.47,2.62,26.4,99.68,15.38,7.94
2000-01-10,2000,1,10,24.66,20.37,29.82,67.29,0.05,1.4,2.67,66.6,99.62,19.0,9.72
2000-01-11,2000,1,11,24.81,19.12,31.12,71.6,0.0,1.61,2.74,43.6,99.62,19.01,9.66
2000-01-12,2000,1,12,25.8,20.57,31.9,73.94,0.0,0.92,1.45,3.1,99.57,20.09,10.18
2000-01-13,2000,1,13,26.54,21.69,32.62,79.54,0.03,1.79,3.17,70.5,99.53,19.03,9.81
2000-01-14,2000,1,14,26.58,21.83,31.99,80.86,0.14,1.4,2.33,33.3,99.48,17.23,9.06
2000-01-15,2000,1,15,26.87,22.48,31.97,79.92,0.33,1.24,2.23,44.9,99.56,18.86,9.68
2000-01-16,2000,1,16,27.15,22.32,32.78,79.93,0.06,1.36,2.12,35.9,99.62,17.88,9.28
2000-01-17,2000,1,17,27.1,22.64,32.42,78.7,0.02,1.57,2.48,53.8,99.63,15.71,8.14
2000-01-18,2000,1,18,26.08,23.24,29.69,85.02,0.04,2.0,2.69,99.9,99.74,15.63,8.2
2000-01-19,2000,1,19,25.53,22.62,29.38,85.88,0.04,1.5,2.44,99.9,99.81,16.85,8.95
2000-01-20,2000,1,20,25.97,22.27,30.61,83.38,0.04,1.31,2.42,96.0,99.81,18.42,9.54
2000-01-21,2000,1,21,26.58,21.99,31.97,81.24,0.01,1.47,2.44,44.9,99.73,18.86,9.82
2000-01-22,2000,1,22,26.36,22.94,30.65,84.72,0.0,1.83,2.57,42.5,99.69,17.81,9.32
2000-01-23,2000,1,23,25.92,22.68,29.84,86.7,0.0,2.0,2.84,67.7,99.67,19.01,10.04
2000-01-24,2000,1,24,26.23,22.51,30.89,83.81,0.0,1.72,2.83,55.6,99.75,18.35,9.7
2000-01-25,2000,1,25,25.41,22.5,29.19,87.04,0.0,1.46,2.5,47.3,99.82,17.79,9.44
2000-01-26,2000,1,26,26.43,22.32,31.17,81.65,0.0,1.17,2.12,82.2,99.8,20.75,10.82
2000-01-27,2000,1,27,27.05,21.98,33.02,78.67,0.0,1.24,1.95,42.0,99.74,18.7,10.03
2000-01-28,2000,1,28,26.38,21.45,32.81,74.08,0.0,1.95,4.03,21.8,99.71,17.52,9.26
2000-01-29,2000,1,29,24.85,20.63,30.73,60.74,0.0,2.4,5.91,83.1,99.83,21.39,10.83
2000-01-30,2000,1,30,23.37,17.4,30.14,53.77,0.0,1.99,4.57,51.4,99.95,18.9,10.05
2000-01-31,2000,1,31,23.21,16.44,30.16,53.4,0.0,1.92,4.2,24.6,100.02,16.04,8.64
2000-02-01,2000,2,1,22.43,15.64,29.14,53.58,0.0,2.48,5.78,23.5,100.08,14.6,7.97
2000-02-02,2000,2,2,22.52,15.56,30.21,52.97,0.0,2.78,6.57,6.6,99.98,15.11,8.26
2000-02-03,2000,2,3,23.23,16.56,30.83,54.06,0.0,2.67,6.51,5.3,99.9,15.55,7.93
2000-02-04,2000,2,4,23.71,17.78,29.96,55.68,0.0,1.75,3.78,0.0,99.96,15.1,8.19
2000-02-05,2000,2,5,24.56,17.95,31.46,63.97,0.22,1.2,2.01,0.0,99.93,16.62,9.11
2000-02-06,2000,2,6,25.01,20.63,30.45,67.16,0.06,1.74,3.19,17.5,99.91,17.17,9.42
2000-02-07,2000,2,7,22.8,19.71,27.48,54.77,0.0,1.92,5.37,11.2,99.97,21.06,11.04
2000-02-08,2000,2,8,23.19,15.92,30.84,54.72,0.0,2.22,5.33,3.4,99.93,14.73,7.75
2000-02-09,2000,2,9,24.08,17.95,30.73,62.26,0.0,1.57,2.76,64.9,99.92,17.92,9.99
2000-02-10,2000,2,10,23.76,19.2,29.92,66.05,0.0,1.63,3.13,29.4,99.84,16.6,9.48
2000-02-11,2000,2,11,24.6,18.43,30.67,58.46,0.2,1.85,4.07,16.2,99.81,15.49,8.61
2000-02-12,2000,2,12,24.2,18.11,31.25,53.86,0.11,2.35,5.76,89.4,99.79,22.42,11.63
2000-02-13,2000,2,13,23.72,17.34,30.82,55.93,0.0,2.54,6.35,74.1,99.79,22.68,11.73
2000-02-14,2000,2,14,24.23,17.31,31.46,60.6,0.0,1.85,3.2,9.3,99.75,20.35,10.89
2000-02-15,2000,2,15,24.69,18.76,31.27,69.5,0.0,1.58,2.59,49.5,99.74,22.78,11.67
2000-02-16,2000,2,16,24.96,19.68,31.52,67.83,0.0,1.61,2.75,31.9,99.74,18.75,10.2
2000-02-17,2000,2,17,25.82,20.7,31.7,80.06,0.0,1.24,2.18,43.9,99.73,19.89,10.72
2000-02-18,2000,2,18,25.57,22.13,29.89,79.75,0.0,1.42,2.16,85.6,99.77,15.46,8.99
2000-02-19,2000,2,19,25.57,20.91,32.16,72.77,0.0,1.61,2.98,14.0,99.74,18.47,10.15
2000-02-20,2000,2,20,26.38,20.9,32.63,78.19,0.0,1.34,2.27,48.0,99.72,20.43,10.9
2000-02-21,2000,2,21,27.08,22.71,32.54,79.19,0.0,1.58,2.51,66.7,99.75,19.65,10.72
2000-02-22,2000,2,22,26.73,22.86,31.4,81.82,0.0,1.44,2.17,53.4,99.7,19.7,10.7
2000-02-23,2000,2,23,27.25,23.06,32.62,81.7,0.0,1.76,3.03,40.0,99.6,19.73,10.62
2000-02-24,2000,2,24,26.97,23.76,31.05,82.39,0.0,1.57,2.45,47.3,99.64,20.53,10.97
2000-02-25,2000,2,25,27.33,22.99,33.57,76.89,0.0,1.63,3.01,18.3,99.66,18.42,10.13
2000-02-26,2000,2,26,26.68,22.6,32.66,62.3,0.0,2.54,5.66,16.7,99.7,20.08,10.43
2000-02-27,2000,2,27,23.56,17.67,30.89,51.87,0.0,2.31,5.41,85.2,99.72,22.23,11.45
2000-02-28,2000,2,28,23.88,17.64,31.21,57.51,0.0,2.57,5.75,90.7,99.76,20.54,11.1
