DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.77,20.83,31.74,80.0,0.06,1.05,1.48,52.6,99.72,18.91,9.01
2000-01-02,2000,1,2,25.69,21.32,31.16,79.11,0.0,1.31,2.41,56.8,99.66,18.06,8.57
2000-01-03,2000,1,3,25.42,20.58,30.35,80.7,0.0,0.97,1.51,9.1,99.64,15.47,7.71
2000-01-04,2000,1,4,24.41,20.16,29.69,72.88,0.02,1.4,2.62,94.0,99.67,20.91,10.1
2000-01-05,2000,1,5,24.28,16.74,30.46,54.24,0.0,1.87,4.42,99.9,99.64,21.8,10.58
2000-01-06,2000,1,6,23.38,16.31,30.4,56.01,0.0,2.48,6.15,99.4,99.68,21.37,10.37
2000-01-07,2000,1,7,24.11,16.89,30.4,53.46,0.0,1.88,4.53,99.1,99.78,20.34,9.76
2000-01-08,2000,1,8,23.52,17.42,29.9,59.14,0.0,1.72,4.08,90.6,99.87,22.67,10.92
2000-01-09,2000,1,9,23.81,17.15,30.36,63.45,0.0,1.45,2.83,45.7,99.86,20.12,9.7
2000-01-10,2000,1,10,24.54,18.06,30.98,60.5,0.0,1.7,3.83,39.7,99.79,21.27,10.2
2000-01-11,2000,1,11,25.05,18.43,31.51,59.13,0.0,1.29,2.62,63.2,99.81,20.23,9.57
2000-01-12,2000,1,12,25.45,19.42,32.02,68.12,0.0,0.95,1.44,0.3,99.74,21.08,10.06
2000-01-13,2000,1,13,26.17,20.11,33.23,76.17,0.0,1.22,2.4,64.2,99.7,22.35,10.72
2000-01-14,2000,1,14,26.32,20.94,32.7,78.65,0.08,1.56,2.42,44.1,99.64,20.54,9.85
2000-01-15,2000,1,15,26.94,22.03,33.0,78.82,0.33,1.32,2.39,44.9,99.71,19.67,9.56
2000-01-16,2000,1,16,27.09,21.44,33.67,76.03,0.09,1.29,1.99,20.1,99.76,19.67,9.49
2000-01-17,2000,1,17,26.67,21.99,33.09,72.56,0.0,1.67,3.14,44.0,99.79,18.71,8.98
2000-01-18,2000,1,18,26.14,21.61,31.5,80.62,0.04,1.28,2.15,95.9,99.88,19.5,9.44
2000-01-19,2000,1,19,25.88,22.58,30.34,82.44,0.06,1.31,2.49,86.7,99.96,17.6,8.66
2000-01-20,2000,1,20,26.04,22.2,31.17,81.34,0.09,1.34,2.26,99.4,99.97,19.33,9.39
2000-01-21,2000,1,21,26.38,21.19,32.22,79.81,0.07,1.56,2.43,31.7,99.9,17.73,8.67
2000-01-22,2000,1,22,26.45,22.11,31.39,81.67,0.03,1.52,2.22,27.7,99.85,17.7,8.67
2000-01-23,2000,1,23,26.38,22.58,31.23,82.5,0.05,2.01,2.9,61.4,99.82,21.09,10.33
2000-01-24,2000,1,24,26.66,22.49,32.03,80.62,0.05,1.98,2.89,69.8,99.9,20.46,10.08
2000-01-25,2000,1,25,25.93,22.97,29.96,84.13,0.06,1.6,2.74,57.5,99.98,19.65,9.62
2000-01-26,2000,1,26,26.64,22.02,31.97,79.76,0.0,1.27,2.08,66.6,99.97,21.81,10.75
2000-01-27,2000,1,27,27.01,21.48,33.88,72.93,0.0,1.33,2.08,31.2,99.92,21.02,10.4
2000-01-28,2000,1,28,27.15,21.42,33.4,59.69,0.0,1.86,4.94,31.9,99.89,20.56,10.13
2000-01-29,2000,1,29,24.33,17.52,31.67,49.97,0.0,2.66,6.73,35.4,100.0,18.82,9.05
2000-01-30,2000,1,30,23.49,15.56,30.5,45.11,0.0,2.41,6.12,59.2,100.1,21.64,10.49
2000-01-31,2000,1,31,23.91,16.13,31.88,47.22,0.0,2.29,5.83,15.1,100.18,14.92,7.66
2000-02-01,2000,2,1,22.42,14.66,30.47,48.55,0.0,2.61,6.43,28.2,100.26,17.82,8.89
2000-02-02,2000,2,2,22.46,15.26,30.99,45.16,0.0,3.43,7.84,42.6,100.16,19.74,9.94
