DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,26.33,21.5,32.67,79.41,0.0,0.7,1.34,37.5,99.68,16.43,8.83
2000-01-02,2000,1,2,26.45,22.87,31.94,81.31,0.0,0.69,1.16,87.7,99.61,17.57,9.22
2000-01-03,2000,1,3,26.58,23.05,31.89,82.66,0.0,0.72,1.58,1.8,99.56,15.28,8.4
2000-01-04,2000,1,4,26.5,22.84,31.83,82.7,0.0,0.6,0.85,98.5,99.57,16.97,8.94
2000-01-05,2000,1,5,26.16,22.23,31.73,78.37,0.0,0.66,0.92,78.0,99.55,21.39,10.81
2000-01-06,2000,1,6,25.36,20.39,32.41,65.93,0.0,0.91,1.62,60.2,99.63,19.7,10.13
2000-01-07,2000,1,7,25.34,20.0,33.09,64.47,0.0,0.76,1.25,60.6,99.73,18.62,9.62
2000-01-08,2000,1,8,25.65,20.61,32.61,68.83,0.0,0.77,1.2,73.0,99.77,18.52,9.56
2000-01-09,2000,1,9,25.16,19.45,32.33,63.35,0.01,1.0,1.77,29.6,99.76,17.17,9.05
2000-01-10,2000,1,10,25.34,18.71,32.81,61.13,0.04,0.92,1.7,74.9,99.72,19.8,10.23
2000-01-11,2000,1,11,26.09,20.34,33.86,65.69,0.0,1.07,2.07,20.3,99.71,17.94,9.25
2000-01-12,2000,1,12,26.32,19.01,34.38,65.81,0.0,0.7,1.2,7.9,99.67,18.54,9.54
2000-01-13,2000,1,13,27.45,22.19,34.42,76.32,0.12,0.99,1.55,53.0,99.64,19.79,10.33
2000-01-14,2000,1,14,27.41,22.81,33.33,78.0,0.27,0.79,1.4,37.5,99.58,16.75,8.93
2000-01-15,2000,1,15,27.38,23.14,33.22,78.15,0.24,0.71,1.29,44.2,99.67,16.42,8.85
2000-01-16,2000,1,16,28.05,22.75,34.95,75.09,0.03,0.72,1.18,52.4,99.72,16.77,8.91
2000-01-17,2000,1,17,27.93,23.15,34.45,76.25,0.02,0.71,1.08,37.4,99.75,17.69,9.44
2000-01-18,2000,1,18,26.67,24.09,30.43,81.89,0.04,1.04,1.94,97.8,99.86,14.46,7.72
2000-01-19,2000,1,19,26.83,22.9,32.18,77.79,0.04,0.7,1.25,96.5,99.9,15.84,8.73
2000-01-20,2000,1,20,27.53,22.74,33.99,75.09,0.03,0.67,1.18,86.5,99.9,17.69,9.43
2000-01-21,2000,1,21,27.45,23.1,33.5,77.56,0.0,0.73,1.26,44.8,99.84,18.28,9.68
2000-01-22,2000,1,22,26.88,23.42,31.43,81.7,0.0,0.9,1.52,50.5,99.8,17.15,9.2
2000-01-23,2000,1,23,26.46,23.24,30.45,83.66,0.0,1.04,1.81,48.4,99.78,17.31,9.32
2000-01-24,2000,1,24,26.84,23.14,31.89,80.2,0.0,0.98,1.66,43.9,99.85,16.4,8.92
2000-01-25,2000,1,25,27.27,22.94,32.96,78.36,0.0,0.71,1.38,59.2,99.91,16.45,9.01
2000-01-26,2000,1,26,27.55,23.51,33.2,78.46,0.0,0.66,1.21,74.5,99.89,18.67,10.07
2000-01-27,2000,1,27,28.18,23.28,35.55,73.13,0.0,0.69,0.97,28.7,99.83,17.88,9.78
2000-01-28,2000,1,28,27.22,21.83,34.95,63.58,0.0,1.38,3.34,19.7,99.82,16.12,8.96
2000-01-29,2000,1,29,26.04,20.9,33.56,59.03,0.0,1.16,2.62,69.2,99.93,21.5,10.97
2000-01-30,2000,1,30,25.06,18.88,33.17,55.35,0.0,0.74,1.24,58.3,100.04,19.94,10.54
2000-01-31,2000,1,31,24.5,18.62,32.85,58.83,0.0,0.97,1.79,58.8,100.12,19.91,10.63
2000-02-01,2000,2,1,23.86,17.19,31.99,49.09,0.0,1.38,2.98,27.2,100.16,15.23,8.42
2000-02-02,2000,2,2,24.97,17.31,33.34,39.71,0.0,1.33,2.83,0.0,100.07,13.44,7.11
2000-02-03,2000,2,3,25.27,18.04,33.38,42.63,0.0,1.26,2.68,3.9,100.0,13.89,7.48
2000-02-04,2000,2,4,25.12,19.74,33.16,49.46,0.0,1.03,1.83,0.1,100.05,13.93,7.6
2000-02-05,2000,2,5,24.9,18.52,32.66,61.75,0.05,0.79,1.22,0.0,100.05,14.96,8.2
2000-02-06,2000,2,6,25.9,19.86,33.88,62.78,0.02,0.75,1.39,11.3,100.0,14.91,8.28
2000-02-07,2000,2,7,25.49,20.02,32.98,61.65,0.0,0.85,1.61,14.8,100.04,18.95,10.29
2000-02-08,2000,2,8,24.96,17.9,33.31,61.46,0.0,0.84,1.35,0.0,100.03,14.4,8.03
2000-02-09,2000,2,9,25.54,19.75,33.37,63.66,0.0,0.79,1.36,31.7,100.0,15.69,8.99
2000-02-10,2000,2,10,25.62,20.3,33.13,59.88,0.0,0.71,1.22,0.6,99.92,13.31,7.42
2000-02-11,2000,2,11,25.92,20.57,33.37,59.76,0.01,0.75,1.23,7.1,99.9,14.96,7.9
2000-02-12,2000,2,12,25.68,19.56,33.88,47.38,0.04,1.08,2.5,87.6,99.89,22.25,11.72
2000-02-13,2000,2,13,25.4,19.11,33.98,49.08,0.0,1.18,2.62,70.2,99.88,21.89,11.56
2000-02-14,2000,2,14,25.57,18.7,34.4,55.93,0.0,0.84,1.27,0.3,99.84,21.78,11.47
2000-02-15,2000,2,15,25.98,19.68,34.08,65.8,0.0,0.72,1.33,52.8,99.82,22.86,11.85
2000-02-16,2000,2,16,26.64,20.68,34.02,70.63,0.0,0.76,1.13,43.4,99.83,18.56,10.27
2000-02-17,2000,2,17,26.42,22.76,30.96,81.32,0.0,0.78,1.33,29.6,99.84,17.32,9.8
2000-02-18,2000,2,18,26.42,23.19,31.31,79.61,0.0,0.55,1.02,91.8,99.87,15.72,8.95
2000-02-19,2000,2,19,27.22,22.65,34.43,71.18,0.0,0.78,1.43,17.8,99.82,18.82,10.29
2000-02-20,2000,2,20,27.0,22.4,33.28,78.2,0.0,0.65,1.06,30.6,99.83,18.37,10.13
2000-02-21,2000,2,21,27.38,23.26,33.4,78.25,0.0,0.81,1.44,84.3,99.87,20.71,10.96
2000-02-22,2000,2,22,27.79,23.22,33.82,77.88,0.0,0.77,1.27,58.2,99.79,17.78,10.01
2000-02-23,2000,2,23,27.48,23.73,32.5,80.62,0.0,0.94,1.72,38.4,99.72,17.72,9.99
2000-02-24,2000,2,24,27.34,23.82,31.7,80.95,0.0,0.68,1.2,51.1,99.74,19.05,10.45
2000-02-25,2000,2,25,27.95,23.99,33.24,77.29,0.0,0.64,0.96,28.5,99.77,17.96,10.0
2000-02-26,2000,2,26,27.54,22.14,35.25,60.28,0.0,1.24,2.62,42.6,99.78,20.84,10.96
2000-02-27,2000,2,27,25.0,18.76,32.88,50.35,0.0,0.84,1.39,61.1,99.82,21.33,11.2
2000-02-28,2000,2,28,25.77,19.19,34.06,54.01,0.0,1.17,2.59,60.4,99.85,19.64,10.64
2000-02-29,2000,2,29,25.88,20.15,33.96,51.97,0.0,1.0,2.05,62.7,99.98,20.17,11.01
2000-03-01,2000,3,1,26.38,20.38,33.71,49.42,0.0,1.07,2.29,66.2,99.94,19.71,10.64
2000-03-02,2000,3,2,26.86,20.43,35.36,53.69,0.0,1.12,2.48,20.5,99.88,17.34,9.73
2000-03-03,2000,3,3,27.16,20.97,34.75,68.31,0.0,0.63,1.01,53.0,99.87,20.89,11.2
2000-03-04,2000,3,4,28.0,22.53,36.33,63.91,0.0,0.9,1.97,53.3,99.82,21.89,11.33
2000-03-05,2000,3,5,27.84,21.39,36.66,58.61,0.0,1.04,1.86,54.0,99.84,22.67,11.67
2000-03-06,2000,3,6,27.04,23.38,32.53,75.43,0.0,0.58,0.86,34.9,99.87,20.1,10.51
2000-03-07,2000,3,7,28.44,23.55,36.3,67.98,0.0,0.79,1.22,48.7,99.8,21.86,11.57
2000-03-08,2000,3,8,27.92,23.91,34.84,60.82,0.0,1.05,2.49,40.5,99.85,22.1,11.46
2000-03-09,2000,3,9,26.94,22.15,33.97,54.96,0.0,1.05,2.53,38.5,99.93,22.08,11.43
2000-03-10,2000,3,10,27.58,20.05,36.77,47.02,0.0,1.0,1.71,8.4,99.79,21.3,10.99
2000-03-11,2000,3,11,26.73,23.04,31.69,67.92,0.0,0.62,1.05,18.7,99.82,20.52,10.73
2000-03-12,2000,3,12,27.96,22.84,35.15,69.33,0.01,0.69,0.87,9.0,99.79,20.78,10.99
2000-03-13,2000,3,13,28.87,22.59,36.75,62.58,0.05,0.79,1.25,55.0,99.73,21.6,11.36
2000-03-14,2000,3,14,28.36,24.44,34.23,75.0,0.47,0.83,1.43,42.3,99.74,16.04,9.22
2000-03-15,2000,3,15,28.2,23.77,33.98,75.82,0.6,1.14,1.83,77.7,99.69,20.39,11.04
2000-03-16,2000,3,16,27.87,24.38,32.66,75.83,0.29,0.91,1.61,83.0,99.63,16.01,9.22
2000-03-17,2000,3,17,27.35,24.23,31.7,81.21,0.48,0.96,1.53,95.2,99.61,19.48,10.8
2000-03-18,2000,3,18,27.79,24.27,32.82,79.01,0.19,1.0,1.7,52.0,99.6,20.11,10.79
2000-03-19,2000,3,19,27.45,24.4,31.49,79.48,0.3,1.16,2.02,99.5,99.61,14.74,8.19
2000-03-20,2000,3,20,27.34,24.54,31.46,80.44,0.52,1.08,2.02,83.0,99.58,16.59,9.57
2000-03-21,2000,3,21,27.6,24.19,32.69,77.86,0.24,1.0,1.58,42.7,99.55,25.75,12.99
2000-03-22,2000,3,22,27.1,24.02,31.57,83.14,5.62,1.08,1.61,85.5,99.67,15.65,8.74
2000-03-23,2000,3,23,27.65,24.07,33.28,79.83,4.5,1.07,1.71,87.7,99.7,18.13,10.45
2000-03-24,2000,3,24,27.1,23.41,32.15,82.3,7.31,0.99,1.68,63.2,99.67,20.8,11.15
2000-03-25,2000,3,25,26.55,23.7,30.46,86.58,5.28,0.88,1.39,99.9,99.67,12.71,6.6
2000-03-26,2000,3,26,26.0,23.38,29.85,88.46,9.82,0.68,0.98,76.3,99.7,20.36,11.02
2000-03-27,2000,3,27,25.97,23.73,29.12,87.48,0.05,0.72,1.07,62.3,99.69,20.62,11.08
2000-03-28,2000,3,28,26.43,23.84,29.99,85.76,0.05,0.59,1.1,90.2,99.66,14.59,8.01
2000-03-29,2000,3,29,26.91,23.74,31.09,83.14,0.04,0.67,1.26,43.7,99.65,24.64,12.66
2000-03-30,2000,3,30,27.81,23.6,33.08,80.13,0.07,0.84,1.29,56.7,99.63,17.31,10.09
2000-03-31,2000,3,31,27.68,23.75,32.7,80.67,0.09,0.95,1.57,68.2,99.54,19.35,10.83
