DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.32,19.21,32.6,73.82,0.06,0.83,1.61,30.7,96.51,16.43,8.08
2000-01-02,2000,1,2,25.26,21.23,31.77,76.71,0.03,1.09,2.26,98.8,96.46,19.82,10.04
2000-01-03,2000,1,3,25.8,21.12,33.11,72.35,0.01,1.2,2.64,12.3,96.4,18.49,9.15
2000-01-04,2000,1,4,25.45,19.76,33.16,67.22,0.03,1.02,1.69,92.7,96.41,20.93,10.51
2000-01-05,2000,1,5,25.0,19.59,32.11,68.59,0.01,0.85,1.48,78.9,96.4,20.53,10.42
2000-01-06,2000,1,6,24.65,17.99,33.24,58.89,0.0,1.26,2.26,81.4,96.47,19.81,9.99
2000-01-07,2000,1,7,24.96,17.95,33.79,55.82,0.0,0.89,2.08,61.1,96.56,20.28,10.26
2000-01-08,2000,1,8,24.66,18.54,32.78,63.1,0.0,1.03,1.96,77.2,96.6,18.68,9.35
2000-01-09,2000,1,9,24.91,19.11,33.19,63.87,0.0,1.25,2.45,39.3,96.59,19.72,9.88
2000-01-10,2000,1,10,24.93,18.49,33.75,59.57,0.0,1.35,3.05,47.7,96.55,19.29,9.56
2000-01-11,2000,1,11,25.48,19.23,34.31,59.24,0.0,1.56,3.6,1.4,96.56,18.58,9.12
2000-01-12,2000,1,12,25.75,19.67,34.74,54.53,0.0,1.12,2.24,0.6,96.51,18.35,8.91
2000-01-13,2000,1,13,26.0,19.67,34.02,71.05,0.03,1.49,2.31,67.5,96.48,19.86,10.04
2000-01-14,2000,1,14,26.4,21.19,33.09,72.81,0.08,1.27,2.14,44.1,96.42,17.91,8.8
2000-01-15,2000,1,15,27.28,21.27,35.1,66.68,0.06,0.96,1.51,52.8,96.48,18.49,9.15
2000-01-16,2000,1,16,27.7,21.89,35.58,67.21,0.06,1.32,2.53,31.1,96.57,18.38,8.99
2000-01-17,2000,1,17,27.56,21.46,35.89,66.82,0.02,1.19,1.89,6.5,96.58,17.51,8.57
2000-01-18,2000,1,18,25.75,22.92,30.57,78.65,0.29,2.1,3.51,99.9,96.69,17.45,8.66
2000-01-19,2000,1,19,25.25,21.79,29.99,76.79,0.37,1.52,2.03,99.9,96.73,17.1,8.67
2000-01-20,2000,1,20,26.7,21.45,34.27,69.58,0.18,1.17,1.92,81.9,96.73,19.7,10.21
2000-01-21,2000,1,21,27.21,20.74,35.43,67.61,0.0,1.09,1.79,26.6,96.66,20.12,10.41
2000-01-22,2000,1,22,26.24,21.88,32.26,74.21,0.0,1.54,2.33,79.1,96.63,20.37,10.48
2000-01-23,2000,1,23,25.62,22.34,30.22,79.89,0.0,1.82,2.98,29.0,96.6,18.07,9.31
2000-01-24,2000,1,24,25.94,22.39,31.06,76.97,0.0,1.86,2.9,46.9,96.69,19.32,10.0
2000-01-25,2000,1,25,25.55,22.35,30.45,78.37,0.0,1.33,2.23,56.0,96.76,19.58,10.19
2000-01-26,2000,1,26,27.24,22.06,35.45,69.66,0.0,1.42,2.29,81.9,96.71,17.94,9.34
2000-01-27,2000,1,27,27.53,21.76,37.0,58.27,0.0,1.62,3.76,18.2,96.69,20.88,10.74
2000-01-28,2000,1,28,26.68,20.35,36.26,46.88,0.0,1.97,4.96,10.9,96.68,19.59,10.13
2000-01-29,2000,1,29,26.07,18.99,34.65,39.42,0.0,1.17,2.64,55.7,96.78,21.35,10.73
2000-01-30,2000,1,30,25.63,17.51,34.36,34.88,0.0,1.06,2.86,61.5,96.86,20.04,10.47
2000-01-31,2000,1,31,25.19,18.04,33.75,38.02,0.0,1.12,2.11,45.7,96.92,18.55,9.85
2000-02-01,2000,2,1,24.11,16.65,32.8,35.6,0.0,1.68,3.51,44.3,96.98,17.59,9.21
2000-02-02,2000,2,2,23.98,15.98,33.43,28.01,0.0,2.25,4.76,1.5,96.91,13.85,7.15
2000-02-03,2000,2,3,24.78,16.83,33.7,29.85,0.0,2.0,4.14,0.3,96.83,13.6,7.1
2000-02-04,2000,2,4,25.32,17.28,34.71,37.01,0.0,1.44,2.59,0.0,96.86,16.27,8.15
2000-02-05,2000,2,5,25.68,17.93,34.81,37.88,0.0,1.03,2.43,1.9,96.84,16.12,8.22
2000-02-06,2000,2,6,25.77,17.51,35.54,38.81,0.0,1.4,2.91,2.4,96.8,16.58,8.61
2000-02-07,2000,2,7,26.06,18.12,34.25,42.86,0.0,1.0,2.44,7.5,96.86,21.31,11.08
2000-02-08,2000,2,8,26.01,18.54,34.23,42.59,0.0,1.0,1.91,0.0,96.85,14.18,7.3
2000-02-09,2000,2,9,25.09,17.17,33.9,37.09,0.0,1.54,3.91,9.8,96.82,15.77,7.95
2000-02-10,2000,2,10,25.1,17.4,33.69,36.48,0.0,1.54,4.25,0.1,96.74,14.22,7.4
2000-02-11,2000,2,11,25.41,17.74,34.33,37.02,0.0,1.27,2.66,20.0,96.72,16.91,9.1
2000-02-12,2000,2,12,25.78,18.27,35.0,29.1,0.0,1.95,4.59,91.0,96.71,22.83,11.94
2000-02-13,2000,2,13,25.43,17.3,34.82,34.4,0.0,1.71,3.59,87.3,96.68,22.58,11.85
2000-02-14,2000,2,14,25.47,16.91,35.91,37.79,0.0,1.55,2.64,0.1,96.66,21.15,11.06
2000-02-15,2000,2,15,25.85,17.67,35.93,44.66,0.0,1.27,1.87,5.7,96.63,19.44,10.26
2000-02-16,2000,2,16,26.37,18.62,35.62,56.11,0.0,1.06,1.67,14.0,96.65,16.73,8.74
2000-02-17,2000,2,17,27.11,20.46,35.59,57.34,0.0,0.96,1.95,2.1,96.64,16.9,9.23
