DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.65,20.55,31.99,79.39,0.04,1.25,2.06,38.2,99.01,15.58,7.91
2000-01-02,2000,1,2,25.62,21.34,31.72,79.53,0.0,1.43,2.13,54.6,98.95,15.85,8.07
2000-01-03,2000,1,3,25.39,20.99,30.79,80.54,0.0,1.29,1.94,5.8,98.92,14.68,7.47
2000-01-04,2000,1,4,24.33,19.98,30.42,75.86,0.02,1.41,2.2,96.8,98.95,19.5,9.79
2000-01-05,2000,1,5,24.1,17.73,30.58,58.16,0.0,1.82,4.03,99.7,98.94,21.25,10.63
2000-01-06,2000,1,6,23.55,16.82,30.73,53.74,0.0,2.3,5.47,96.4,98.98,20.45,10.26
2000-01-07,2000,1,7,23.61,17.18,30.37,55.9,0.0,1.93,4.29,93.4,99.09,20.92,10.42
2000-01-08,2000,1,8,22.97,16.76,29.83,59.48,0.0,1.87,4.07,94.2,99.16,21.92,10.89
2000-01-09,2000,1,9,23.48,16.8,30.47,60.52,0.0,1.69,3.22,25.1,99.15,16.85,8.53
2000-01-10,2000,1,10,24.05,17.51,30.54,59.46,0.0,1.81,3.95,14.2,99.09,19.01,9.43
2000-01-11,2000,1,11,24.48,17.86,31.62,60.05,0.0,1.73,3.61,74.8,99.1,20.79,10.22
2000-01-12,2000,1,12,25.36,19.02,32.19,66.76,0.0,1.13,1.92,0.0,99.04,20.79,10.29
2000-01-13,2000,1,13,26.2,20.18,33.45,74.62,0.0,1.48,2.96,64.3,98.98,20.71,10.37
2000-01-14,2000,1,14,26.45,21.07,32.99,77.3,0.09,1.52,2.61,41.1,98.93,18.75,9.51
2000-01-15,2000,1,15,26.85,21.86,33.22,76.93,0.28,1.35,2.57,49.1,99.01,18.69,9.56
2000-01-16,2000,1,16,26.93,21.37,33.81,76.15,0.06,1.45,2.2,13.6,99.07,18.49,9.36
2000-01-17,2000,1,17,26.42,21.37,33.26,71.79,0.0,1.78,3.3,63.5,99.09,18.3,9.23
2000-01-18,2000,1,18,25.96,21.66,31.29,80.38,0.03,1.55,2.38,99.9,99.18,17.2,8.78
2000-01-19,2000,1,19,25.63,22.61,30.07,82.1,0.05,1.55,2.65,94.9,99.26,17.45,8.87
2000-01-20,2000,1,20,26.0,21.81,31.47,80.09,0.07,1.49,2.78,95.6,99.26,18.37,9.47
2000-01-21,2000,1,21,26.61,21.12,33.14,76.7,0.04,1.58,2.45,30.7,99.18,17.71,8.92
2000-01-22,2000,1,22,26.48,21.97,31.76,80.11,0.02,1.74,2.53,48.7,99.14,18.88,9.77
2000-01-23,2000,1,23,26.31,22.47,31.16,82.0,0.02,2.23,2.97,66.9,99.12,20.15,10.3
2000-01-24,2000,1,24,26.4,22.37,31.84,80.3,0.03,1.98,3.04,65.6,99.2,18.7,9.77
2000-01-25,2000,1,25,25.4,22.66,29.44,84.64,0.03,1.66,2.79,45.9,99.28,17.89,9.41
2000-01-26,2000,1,26,26.22,21.79,31.81,79.8,0.0,1.39,2.31,71.3,99.26,20.65,10.67
2000-01-27,2000,1,27,26.66,20.84,34.07,73.67,0.0,1.39,2.45,38.6,99.2,19.41,10.18
2000-01-28,2000,1,28,25.94,19.49,33.28,62.0,0.0,2.25,5.97,25.4,99.19,19.69,10.03
2000-01-29,2000,1,29,23.99,17.81,31.64,50.39,0.0,2.73,7.12,74.4,99.3,20.4,10.35
2000-01-30,2000,1,30,23.02,15.73,30.83,45.3,0.0,2.43,5.74,31.8,99.4,16.21,8.44
2000-01-31,2000,1,31,23.5,15.87,31.77,45.37,0.0,2.22,5.54,1.4,99.47,13.9,7.15
2000-02-01,2000,2,1,22.24,14.5,30.33,47.24,0.0,2.69,6.6,22.7,99.55,16.98,8.84
2000-02-02,2000,2,2,22.48,15.18,31.04,44.68,0.0,3.31,7.79,20.1,99.44,17.03,8.93
2000-02-03,2000,2,3,23.34,16.05,31.78,46.8,0.0,3.07,7.38,0.0,99.37,16.49,8.56
2000-02-04,2000,2,4,23.65,16.96,31.37,52.65,0.0,2.03,4.91,0.0,99.41,16.95,9.22
2000-02-05,2000,2,5,24.63,17.79,32.17,59.67,0.15,1.29,1.9,1.5,99.39,19.27,10.17
2000-02-06,2000,2,6,24.23,19.38,30.3,60.61,0.01,1.93,4.31,22.7,99.37,19.94,10.58
2000-02-07,2000,2,7,22.24,17.52,28.92,50.58,0.0,2.37,6.06,39.2,99.42,22.15,11.37
2000-02-08,2000,2,8,23.46,15.3,32.12,47.42,0.0,2.61,6.28,15.0,99.37,17.62,9.58
2000-02-09,2000,2,9,23.97,18.2,31.26,54.28,0.0,1.76,4.04,73.5,99.38,16.83,9.35
2000-02-10,2000,2,10,24.04,18.87,30.5,54.57,0.01,1.85,4.37,10.9,99.31,15.36,8.23
2000-02-11,2000,2,11,24.8,17.71,32.17,47.5,0.17,2.11,5.28,52.1,99.27,20.79,10.86
2000-02-12,2000,2,12,24.4,17.38,32.55,47.15,0.01,2.69,6.91,81.2,99.25,23.31,11.83
2000-02-13,2000,2,13,23.95,16.76,32.11,48.9,0.0,2.75,7.36,85.5,99.25,23.16,11.76
2000-02-14,2000,2,14,24.06,16.91,32.19,53.93,0.0,2.05,4.55,23.4,99.22,21.37,11.03
2000-02-15,2000,2,15,24.12,18.01,31.88,55.26,0.0,1.7,3.57,45.5,99.21,21.38,11.01
2000-02-16,2000,2,16,24.82,18.14,32.73,50.35,0.0,1.87,4.34,54.7,99.19,21.42,11.02
2000-02-17,2000,2,17,25.25,18.61,33.09,67.6,0.0,1.27,1.9,37.5,99.19,21.36,11.04
2000-02-18,2000,2,18,24.78,20.9,30.48,69.29,0.0,1.63,3.24,23.3,99.23,17.33,9.77
2000-02-19,2000,2,19,25.25,19.66,33.61,60.35,0.0,1.81,4.12,7.1,99.2,18.62,10.04
2000-02-20,2000,2,20,26.01,19.21,34.08,70.6,0.0,1.47,2.63,58.8,99.18,21.95,11.37
2000-02-21,2000,2,21,26.9,21.73,33.38,74.98,0.0,1.58,2.79,49.5,99.2,21.35,11.07
2000-02-22,2000,2,22,26.44,22.08,32.02,78.19,0.0,1.54,2.34,59.3,99.16,21.37,11.12
2000-02-23,2000,2,23,27.37,21.77,34.31,75.02,0.0,1.73,2.99,23.3,99.05,19.68,10.58
2000-02-24,2000,2,24,26.81,22.99,31.85,78.86,0.0,1.51,2.21,48.7,99.09,21.31,11.04
2000-02-25,2000,2,25,27.16,21.75,35.19,67.79,0.0,1.75,3.79,30.5,99.12,19.83,10.51
2000-02-26,2000,2,26,25.88,20.21,34.06,55.25,0.0,2.98,7.18,13.4,99.18,20.55,10.64
