DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,27.74,19.82,36.61,29.14,0.0,1.46,2.64,62.1,96.15,21.1,10.13
2000-01-02,2000,1,2,27.96,19.91,36.96,24.87,0.0,1.5,2.86,41.7,96.1,20.2,9.42
2000-01-03,2000,1,3,26.93,19.67,35.83,23.79,0.0,2.32,4.18,0.9,96.08,21.08,10.11
2000-01-04,2000,1,4,26.67,18.69,36.67,21.89,0.0,2.51,4.71,45.5,96.08,19.91,9.14
2000-01-05,2000,1,5,26.67,18.45,36.38,22.96,0.0,1.96,4.65,90.6,96.08,22.37,10.72
2000-01-06,2000,1,6,27.02,19.29,36.71,22.78,0.0,2.21,4.65,71.3,96.11,20.71,9.8
2000-01-07,2000,1,7,26.75,18.78,36.03,22.04,0.0,1.69,3.55,54.2,96.2,19.46,8.89
2000-01-08,2000,1,8,26.43,18.6,36.15,23.29,0.0,2.42,3.89,66.3,96.26,20.87,9.92
2000-01-09,2000,1,9,26.22,18.34,35.44,24.78,0.0,2.18,3.71,4.3,96.27,19.62,8.97
2000-01-10,2000,1,10,26.85,18.81,36.75,23.43,0.0,2.9,4.36,59.2,96.22,19.9,9.16
2000-01-11,2000,1,11,27.54,19.41,37.41,22.67,0.0,3.41,4.99,0.0,96.22,18.82,8.37
2000-01-12,2000,1,12,27.85,20.11,37.55,21.38,0.0,2.91,4.43,0.0,96.16,19.39,9.08
2000-01-13,2000,1,13,28.18,19.9,37.33,24.19,0.0,1.02,1.94,24.0,96.12,20.18,9.41
2000-01-14,2000,1,14,28.26,20.67,36.89,26.83,0.0,0.94,1.39,3.4,96.04,20.63,9.69
2000-01-15,2000,1,15,28.92,22.04,37.63,29.61,0.0,1.28,2.48,2.8,96.12,20.74,9.81
2000-01-16,2000,1,16,29.17,20.49,39.23,20.96,0.0,2.54,3.93,0.0,96.2,21.89,10.45
2000-01-17,2000,1,17,29.07,21.19,38.89,19.4,0.0,3.15,5.03,3.4,96.2,19.58,9.12
2000-01-18,2000,1,18,27.34,19.91,34.79,23.3,0.0,2.37,4.0,99.9,96.31,19.98,9.48
2000-01-19,2000,1,19,27.55,20.95,35.68,27.95,0.0,2.64,4.15,63.8,96.36,19.85,9.31
2000-01-20,2000,1,20,27.8,21.15,36.17,30.78,0.0,2.07,4.4,62.2,96.4,20.08,9.62
2000-01-21,2000,1,21,27.97,19.52,37.54,21.58,0.0,2.95,5.35,2.1,96.31,21.37,10.31
2000-01-22,2000,1,22,28.42,20.15,37.82,25.06,0.0,2.34,4.41,54.0,96.24,20.63,9.94
2000-01-23,2000,1,23,28.86,21.44,38.05,29.04,0.0,2.05,3.94,0.7,96.19,20.96,10.13
2000-01-24,2000,1,24,28.78,22.56,36.86,53.72,0.0,1.47,2.31,25.9,96.3,22.75,11.0
2000-01-25,2000,1,25,29.72,22.71,37.99,43.56,0.0,0.89,1.46,33.7,96.35,22.1,10.79
2000-01-26,2000,1,26,29.33,21.76,39.31,21.83,0.0,3.15,6.14,14.0,96.36,19.68,9.49
2000-01-27,2000,1,27,29.6,20.84,40.33,12.48,0.0,4.47,6.22,1.2,96.33,20.51,9.52
2000-01-28,2000,1,28,29.33,21.41,39.29,13.22,0.0,5.42,7.78,0.0,96.31,19.58,8.99
2000-01-29,2000,1,29,27.14,18.84,37.42,14.37,0.0,3.46,4.97,69.5,96.4,21.41,10.39
2000-01-30,2000,1,30,26.55,17.99,36.47,14.34,0.0,2.02,5.08,30.3,96.5,19.03,8.8
2000-01-31,2000,1,31,26.27,17.78,36.32,11.98,0.0,2.2,4.59,31.6,96.58,19.03,9.05
2000-02-01,2000,2,1,25.52,17.49,35.1,13.18,0.0,3.05,6.06,58.6,96.65,22.33,11.04
2000-02-02,2000,2,2,25.64,17.44,35.27,16.6,0.0,3.11,6.7,10.0,96.58,17.8,8.18
