DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.54,16.66,35.83,23.22,0.0,2.77,4.6,12.9,96.49,17.61,7.8
2000-01-02,2000,1,2,26.21,17.58,36.27,22.53,0.0,2.96,4.73,31.2,96.43,18.58,8.04
2000-01-03,2000,1,3,25.51,17.74,35.28,19.91,0.0,3.67,6.05,3.4,96.43,21.07,9.46
2000-01-04,2000,1,4,24.56,16.19,34.56,21.3,0.0,3.51,5.22,0.7,96.47,20.25,8.86
2000-01-05,2000,1,5,23.7,16.51,32.49,26.56,0.0,4.17,6.46,99.7,96.53,22.69,10.34
2000-01-06,2000,1,6,23.49,16.16,32.58,27.92,0.0,3.54,5.33,96.5,96.58,19.67,8.86
2000-01-07,2000,1,7,23.37,15.58,32.56,28.12,0.0,4.04,5.85,94.9,96.65,22.82,10.39
2000-01-08,2000,1,8,23.12,15.91,32.14,26.86,0.0,3.85,6.61,93.9,96.73,22.8,10.37
2000-01-09,2000,1,9,23.48,15.66,32.68,27.6,0.0,3.58,6.11,10.1,96.69,20.04,8.93
2000-01-10,2000,1,10,24.55,16.33,34.04,26.7,0.0,3.65,5.27,14.5,96.65,20.0,8.82
2000-01-11,2000,1,11,24.88,17.02,34.41,24.82,0.0,3.97,5.93,43.1,96.67,21.63,9.79
2000-01-12,2000,1,12,25.21,16.69,35.1,23.57,0.0,3.31,5.17,0.6,96.53,20.32,9.13
2000-01-13,2000,1,13,26.2,16.49,35.39,23.86,0.0,1.84,4.24,0.0,96.44,20.32,9.28
2000-01-14,2000,1,14,27.36,18.4,36.94,21.13,0.0,1.47,2.16,1.9,96.33,20.53,9.41
2000-01-15,2000,1,15,27.23,18.39,37.38,21.08,0.0,2.68,4.83,0.0,96.45,20.81,9.56
2000-01-16,2000,1,16,27.32,18.58,36.94,20.02,0.0,3.98,6.09,0.9,96.59,19.78,9.12
2000-01-17,2000,1,17,26.55,18.91,35.37,22.19,0.0,4.63,7.34,18.2,96.63,20.34,9.43
2000-01-18,2000,1,18,25.58,17.27,34.98,21.26,0.0,3.33,5.84,97.5,96.65,20.02,9.43
2000-01-19,2000,1,19,25.64,18.89,33.63,20.61,0.0,3.1,5.13,17.9,96.68,21.91,10.03
2000-01-20,2000,1,20,27.44,18.81,37.17,18.58,0.0,3.94,5.97,87.7,96.71,19.93,9.45
2000-01-21,2000,1,21,27.65,19.52,37.48,18.58,0.0,4.46,6.79,15.9,96.64,18.98,8.94
2000-01-22,2000,1,22,27.83,19.31,37.98,17.1,0.0,4.08,6.44,10.0,96.56,18.82,8.8
2000-01-23,2000,1,23,27.74,18.48,38.4,15.32,0.0,3.13,5.88,1.5,96.46,21.08,9.73
2000-01-24,2000,1,24,27.86,18.54,37.44,15.4,0.0,1.78,3.76,20.0,96.53,21.05,9.75
2000-01-25,2000,1,25,27.54,18.16,38.16,15.36,0.0,2.68,4.6,90.7,96.64,21.59,10.07
2000-01-26,2000,1,26,27.63,18.61,37.83,14.19,0.0,4.04,6.96,4.5,96.7,18.24,8.78
2000-01-27,2000,1,27,27.4,18.58,37.27,15.18,0.0,4.94,7.92,0.9,96.78,17.6,7.64
2000-01-28,2000,1,28,25.9,19.01,34.0,16.7,0.0,5.69,8.29,1.5,96.83,12.9,6.87
2000-01-29,2000,1,29,22.97,16.21,31.11,17.31,0.0,5.01,6.78,77.6,96.96,21.19,10.13
2000-01-30,2000,1,30,22.06,14.67,31.22,14.55,0.0,3.98,5.99,77.7,96.99,22.49,10.24
2000-01-31,2000,1,31,21.95,13.97,30.91,13.49,0.0,4.5,7.04,84.6,97.1,23.21,10.77
2000-02-01,2000,2,1,21.63,14.33,30.07,16.64,0.0,4.58,7.43,66.3,97.19,22.48,10.53
2000-02-02,2000,2,2,21.91,14.83,30.34,19.65,0.0,4.65,7.68,62.0,97.11,23.08,10.76
2000-02-03,2000,2,3,22.51,15.37,31.14,20.17,0.0,4.09,6.62,4.1,97.02,18.77,9.4
2000-02-04,2000,2,4,23.29,15.09,32.41,21.28,0.0,3.67,6.05,0.6,96.97,17.73,8.53
2000-02-05,2000,2,5,23.87,16.12,32.71,20.45,0.0,4.02,6.29,0.6,96.93,18.02,8.89
