DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,22.37,13.22,33.46,23.19,0.0,1.1,2.06,1.9,96.43,21.11,9.78
2000-01-02,2000,1,2,23.51,14.61,34.32,21.85,0.0,1.46,2.18,0.3,96.38,19.03,8.92
2000-01-03,2000,1,3,22.82,14.03,33.14,17.25,0.0,1.66,2.64,4.3,96.39,20.12,9.44
2000-01-04,2000,1,4,21.66,13.85,30.87,28.25,0.0,1.74,2.7,0.3,96.45,20.3,9.42
2000-01-05,2000,1,5,20.93,13.89,29.67,33.39,0.0,1.74,2.92,79.5,96.5,22.34,10.37
2000-01-06,2000,1,6,21.05,13.39,30.48,33.12,0.0,1.6,2.71,57.0,96.53,18.45,8.99
2000-01-07,2000,1,7,21.02,13.53,30.07,32.0,0.0,1.79,2.96,71.0,96.62,21.46,9.97
2000-01-08,2000,1,8,20.85,13.14,30.58,33.39,0.0,1.73,3.21,37.4,96.66,20.09,9.54
2000-01-09,2000,1,9,20.9,13.24,30.32,33.5,0.0,1.62,3.05,0.1,96.63,19.85,9.5
2000-01-10,2000,1,10,21.72,13.68,31.28,31.22,0.0,1.71,2.92,70.3,96.61,19.96,9.63
2000-01-11,2000,1,11,22.22,14.2,32.19,27.31,0.0,1.77,3.0,0.1,96.6,19.2,9.18
2000-01-12,2000,1,12,22.42,13.6,33.15,24.83,0.0,1.35,2.41,0.1,96.48,19.11,9.19
2000-01-13,2000,1,13,24.05,14.1,34.69,24.94,0.0,1.02,1.91,0.0,96.31,18.98,9.21
2000-01-14,2000,1,14,25.31,17.29,35.64,23.56,0.0,0.74,1.07,0.0,96.21,18.95,9.24
2000-01-15,2000,1,15,24.76,15.78,35.65,25.48,0.0,1.21,2.16,0.0,96.35,18.45,9.16
2000-01-16,2000,1,16,24.93,16.48,35.01,24.3,0.0,1.89,3.29,0.0,96.55,18.84,9.3
2000-01-17,2000,1,17,23.9,16.3,33.55,25.53,0.0,1.85,3.55,54.7,96.59,18.07,9.2
2000-01-18,2000,1,18,23.31,14.44,33.72,25.34,0.0,1.57,2.89,87.7,96.57,17.11,8.99
2000-01-19,2000,1,19,24.17,15.41,34.73,22.56,0.0,1.64,2.83,40.7,96.56,20.27,9.68
2000-01-20,2000,1,20,24.29,15.38,34.67,21.7,0.0,1.8,3.09,48.8,96.65,18.51,9.31
2000-01-21,2000,1,21,25.17,16.2,35.61,21.77,0.0,2.04,3.75,2.4,96.59,16.8,8.84
2000-01-22,2000,1,22,25.7,16.37,36.39,19.6,0.0,1.79,3.3,1.9,96.49,16.39,8.67
2000-01-23,2000,1,23,26.18,17.76,37.25,17.22,0.0,1.64,3.11,0.9,96.36,18.33,9.21
2000-01-24,2000,1,24,24.77,16.73,35.53,18.96,0.0,1.2,2.23,47.9,96.44,10.24,6.7
2000-01-25,2000,1,25,25.37,17.45,36.07,17.41,0.0,1.71,3.53,28.3,96.57,18.81,9.46
2000-01-26,2000,1,26,25.93,16.9,36.39,15.79,0.0,2.26,4.16,2.6,96.65,17.39,9.12
2000-01-27,2000,1,27,25.55,16.37,35.71,17.11,0.0,2.55,4.71,0.9,96.75,16.69,8.45
2000-01-28,2000,1,28,23.73,16.96,31.97,19.15,0.0,2.47,4.12,11.2,96.82,17.5,9.12
2000-01-29,2000,1,29,21.01,14.84,29.36,17.9,0.0,2.24,3.74,75.9,96.93,14.6,8.44
2000-01-30,2000,1,30,19.59,11.93,29.28,15.66,0.0,1.86,3.12,88.2,96.94,21.56,10.43
2000-01-31,2000,1,31,19.32,11.25,28.52,17.15,0.0,2.03,3.48,67.7,97.07,19.98,9.88
2000-02-01,2000,2,1,18.96,11.42,27.89,20.05,0.0,2.02,3.78,32.4,97.16,22.72,10.71
2000-02-02,2000,2,2,19.14,12.01,27.68,21.38,0.0,2.18,3.91,56.4,97.11,20.12,10.0
2000-02-03,2000,2,3,19.38,11.84,28.61,23.08,0.0,1.83,3.41,0.0,96.98,17.97,9.36
