DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,24.07,16.17,33.8,28.77,0.0,2.79,4.48,30.0,93.87,21.0,9.18
2000-01-02,2000,1,2,24.07,17.0,33.19,28.78,0.0,3.19,4.91,5.1,93.83,20.92,9.18
2000-01-03,2000,1,3,23.64,16.03,32.75,23.6,0.0,3.95,6.62,2.5,93.81,21.98,9.95
2000-01-04,2000,1,4,23.24,15.43,33.78,26.59,0.0,3.98,6.16,29.0,93.82,20.19,8.79
2000-01-05,2000,1,5,22.29,15.33,31.47,30.25,0.0,4.44,6.96,69.0,93.86,23.16,10.58
2000-01-06,2000,1,6,22.48,15.21,32.18,30.83,0.0,3.93,6.38,36.0,93.89,21.18,9.46
2000-01-07,2000,1,7,22.22,15.1,31.48,30.62,0.0,4.18,6.19,24.3,93.98,19.57,8.59
2000-01-08,2000,1,8,22.17,14.95,31.65,29.93,0.0,4.4,7.33,40.0,94.02,20.27,8.9
2000-01-09,2000,1,9,22.35,15.21,31.63,30.78,0.0,3.88,6.75,3.4,94.01,21.71,9.76
2000-01-10,2000,1,10,23.49,15.78,33.32,28.62,0.0,4.29,6.15,58.2,93.97,21.02,9.23
2000-01-11,2000,1,11,23.7,15.86,33.55,27.97,0.0,4.26,6.48,3.6,93.98,17.76,7.96
2000-01-12,2000,1,12,23.79,15.68,34.11,27.32,0.0,3.11,5.55,0.0,93.89,19.49,8.35
2000-01-13,2000,1,13,24.8,15.92,34.33,28.75,0.0,1.76,3.55,0.3,93.82,20.77,9.06
2000-01-14,2000,1,14,25.56,18.17,34.53,29.94,0.0,1.15,1.61,0.7,93.73,18.93,8.28
2000-01-15,2000,1,15,26.03,17.64,35.74,28.14,0.0,2.83,4.5,0.0,93.82,17.87,8.56
2000-01-16,2000,1,16,25.9,18.24,35.26,25.08,0.0,4.59,6.35,0.0,93.98,22.38,10.41
2000-01-17,2000,1,17,24.9,17.78,34.28,26.01,0.0,4.7,7.79,14.9,94.01,20.77,9.26
2000-01-18,2000,1,18,24.78,16.52,34.84,25.37,0.0,3.01,6.02,79.2,93.98,21.34,9.68
2000-01-19,2000,1,19,25.14,17.77,34.84,24.92,0.0,3.0,5.26,31.7,94.01,21.66,9.86
2000-01-20,2000,1,20,25.32,17.43,34.97,24.47,0.0,3.51,5.78,50.0,94.09,21.74,10.01
2000-01-21,2000,1,21,25.92,18.27,35.84,22.56,0.0,4.42,6.94,16.2,94.02,22.27,10.51
2000-01-22,2000,1,22,26.27,17.93,36.18,22.32,0.0,3.92,6.66,24.5,93.94,22.58,10.5
2000-01-23,2000,1,23,26.83,18.32,37.28,20.93,0.0,2.96,5.46,0.1,93.84,22.59,10.25
2000-01-24,2000,1,24,25.4,19.39,34.84,30.1,0.0,1.83,2.91,25.4,93.98,16.14,7.72
2000-01-25,2000,1,25,25.35,18.42,33.67,27.51,0.0,3.02,5.25,12.5,94.08,22.21,10.35
2000-01-26,2000,1,26,26.16,17.88,36.58,17.08,0.0,4.69,7.36,5.0,94.09,20.99,9.73
2000-01-27,2000,1,27,25.69,18.09,35.38,17.39,0.0,5.8,8.82,1.2,94.16,16.89,8.04
2000-01-28,2000,1,28,24.47,17.99,33.23,19.8,0.0,6.13,9.3,23.2,94.16,20.03,9.2
2000-01-29,2000,1,29,22.25,15.42,31.68,18.93,0.0,6.07,9.13,65.2,94.22,19.83,9.38
2000-01-30,2000,1,30,21.63,13.51,31.86,16.55,0.0,4.67,6.83,25.4,94.28,19.71,9.11
2000-01-31,2000,1,31,21.02,13.29,30.52,16.99,0.0,5.17,7.8,68.2,94.39,23.39,11.15
2000-02-01,2000,2,1,20.25,12.49,29.41,20.07,0.0,5.17,8.35,26.8,94.46,20.89,9.75
2000-02-02,2000,2,2,20.5,13.3,29.63,22.37,0.0,5.49,8.67,9.8,94.4,19.51,9.12
2000-02-03,2000,2,3,21.07,12.94,30.91,22.82,0.0,4.9,7.88,0.0,94.3,18.14,8.78
2000-02-04,2000,2,4,21.94,14.27,31.55,25.09,0.0,3.76,6.57,0.9,94.29,17.86,8.75
2000-02-05,2000,2,5,22.75,16.15,32.0,24.16,0.0,3.98,6.42,0.3,94.25,19.52,9.17
2000-02-06,2000,2,6,22.71,15.35,32.16,22.11,0.0,4.5,7.07,8.2,94.25,22.51,10.68
2000-02-07,2000,2,7,21.92,14.46,30.91,21.66,0.0,4.8,7.87,75.4,94.31,22.44,10.83
2000-02-08,2000,2,8,22.03,14.12,31.48,25.21,0.0,4.61,7.91,7.2,94.28,20.3,9.56
2000-02-09,2000,2,9,21.92,14.47,30.93,27.5,0.0,4.21,6.64,24.7,94.24,18.32,8.8
2000-02-10,2000,2,10,21.18,14.02,30.17,26.45,0.0,4.62,7.97,3.9,94.18,19.33,9.31
2000-02-11,2000,2,11,20.85,13.93,29.3,21.36,0.0,4.86,7.39,7.4,94.22,19.5,9.39
2000-02-12,2000,2,12,21.4,14.09,30.27,19.38,0.0,5.25,8.27,5.1,94.2,20.87,9.88
2000-02-13,2000,2,13,22.04,13.98,31.81,19.09,0.0,4.88,7.85,25.4,94.14,21.84,10.56
2000-02-14,2000,2,14,23.38,14.32,34.05,18.76,0.0,3.75,6.74,0.1,94.06,19.12,9.32
2000-02-15,2000,2,15,24.11,15.87,34.33,19.07,0.0,4.58,7.06,0.0,94.06,20.71,9.82
2000-02-16,2000,2,16,23.42,15.14,33.38,19.48,0.0,4.78,7.52,0.0,94.1,21.49,10.35
2000-02-17,2000,2,17,23.71,15.12,33.63,20.5,0.0,4.52,7.73,41.1,94.08,21.71,10.55
2000-02-18,2000,2,18,24.0,16.05,33.26,21.18,0.0,4.24,6.86,6.8,94.11,20.64,9.9
2000-02-19,2000,2,19,25.16,16.93,34.86,20.66,0.0,4.62,7.09,0.0,94.09,22.8,10.91
2000-02-20,2000,2,20,26.11,17.14,36.42,20.25,0.0,3.68,6.31,8.6,94.01,23.21,11.27
2000-02-21,2000,2,21,27.17,18.99,36.57,21.93,0.0,4.0,6.0,0.1,94.03,15.28,8.25
2000-02-22,2000,2,22,27.56,19.74,36.74,21.42,0.0,4.89,7.37,0.3,94.02,24.05,11.29
2000-02-23,2000,2,23,27.25,18.9,37.12,19.2,0.0,4.92,7.4,0.0,93.93,22.96,10.52
2000-02-24,2000,2,24,26.32,18.11,36.01,14.15,0.0,4.58,6.84,27.8,93.97,22.81,11.08
2000-02-25,2000,2,25,26.88,17.85,36.69,12.96,0.0,4.95,6.82,0.0,94.03,20.33,10.06
2000-02-26,2000,2,26,23.68,16.39,33.0,17.17,0.0,6.11,9.09,8.9,94.19,18.96,9.2
2000-02-27,2000,2,27,22.94,14.28,32.95,17.08,0.0,5.79,8.75,77.4,94.07,22.56,11.28
2000-02-28,2000,2,28,23.02,15.1,32.98,18.01,0.0,5.13,8.35,59.6,94.14,22.5,11.06
2000-02-29,2000,2,29,24.16,15.82,33.73,19.95,0.0,4.81,7.52,57.8,94.23,21.5,11.01
2000-03-01,2000,3,1,24.8,17.38,34.3,16.18,0.0,5.61,8.33,40.3,94.25,22.57,11.25
2000-03-02,2000,3,2,25.39,18.15,34.62,13.52,0.0,5.64,8.27,4.2,94.16,18.24,8.95
2000-03-03,2000,3,3,25.26,17.23,35.31,11.46,0.0,5.24,8.06,0.0,94.15,22.36,10.56
2000-03-04,2000,3,4,25.34,16.34,35.77,10.09,0.0,5.26,8.05,2.5,94.12,21.59,10.7
2000-03-05,2000,3,5,25.18,16.36,35.19,10.86,0.0,5.43,8.65,13.2,94.13,19.13,9.18
2000-03-06,2000,3,6,25.4,16.62,35.66,10.82,0.0,5.28,8.05,6.0,94.12,20.27,10.37
2000-03-07,2000,3,7,25.45,17.15,35.02,10.71,0.0,5.64,8.56,1.2,94.1,19.76,10.36
2000-03-08,2000,3,8,24.94,18.04,32.63,13.25,0.0,5.89,9.46,16.2,94.15,18.53,9.68
2000-03-09,2000,3,9,25.16,17.26,33.97,15.73,0.0,5.65,8.67,1.9,94.19,19.11,10.21
2000-03-10,2000,3,10,24.38,17.25,32.21,14.25,0.0,4.86,7.94,6.8,94.12,18.15,9.69
2000-03-11,2000,3,11,25.37,17.87,34.08,11.48,0.0,4.7,7.4,10.0,94.06,22.01,10.9
2000-03-12,2000,3,12,24.38,18.49,32.56,11.96,0.0,5.06,8.28,6.1,94.1,22.01,10.96
2000-03-13,2000,3,13,25.39,17.24,34.84,12.82,0.0,5.09,7.96,1.5,94.02,20.02,10.48
2000-03-14,2000,3,14,26.53,18.68,36.21,15.23,0.0,4.01,7.54,64.3,93.9,23.57,11.81
2000-03-15,2000,3,15,27.31,19.81,36.34,16.55,0.0,2.98,5.72,78.6,93.84,24.19,12.05
2000-03-16,2000,3,16,28.09,19.86,37.05,16.37,0.0,2.49,4.57,28.3,93.76,22.62,11.2
2000-03-17,2000,3,17,28.49,20.98,37.55,18.58,0.0,2.24,3.57,75.2,93.69,23.86,11.91
2000-03-18,2000,3,18,28.2,22.55,34.78,47.37,0.94,2.16,4.53,33.6,93.7,23.1,11.44
2000-03-19,2000,3,19,28.34,23.45,34.22,53.33,2.61,2.34,3.71,59.6,93.68,24.88,12.25
2000-03-20,2000,3,20,28.37,22.99,35.35,46.27,2.07,2.26,4.45,57.9,93.63,24.15,11.91
2000-03-21,2000,3,21,27.43,18.81,37.05,25.46,0.0,2.45,4.67,27.0,93.64,24.11,11.78
2000-03-22,2000,3,22,28.24,18.59,38.05,22.56,0.0,2.13,3.21,3.0,93.71,22.99,11.48
2000-03-23,2000,3,23,28.92,19.54,38.26,28.95,0.1,1.36,2.84,28.2,93.72,22.75,11.3
2000-03-24,2000,3,24,28.64,20.19,37.16,30.82,0.25,1.84,3.23,36.1,93.76,21.85,10.97
2000-03-25,2000,3,25,29.69,21.22,38.41,23.06,0.0,2.72,4.73,27.2,93.73,20.24,10.51
2000-03-26,2000,3,26,28.92,22.62,36.33,28.59,0.0,2.38,4.3,14.0,93.77,17.5,9.73
2000-03-27,2000,3,27,28.55,21.78,36.77,30.42,0.0,2.24,4.36,15.3,93.77,23.11,11.25
2000-03-28,2000,3,28,28.33,21.61,35.7,23.75,0.0,2.23,4.8,49.0,93.75,24.99,12.37
2000-03-29,2000,3,29,29.48,21.12,38.07,22.57,0.0,2.68,3.93,81.5,93.75,24.31,12.18
2000-03-30,2000,3,30,29.93,20.46,40.36,16.79,0.0,3.01,5.12,0.7,93.71,22.82,11.31
2000-03-31,2000,3,31,29.67,19.57,40.42,13.62,0.0,2.31,4.33,0.0,93.6,23.06,11.42
2000-04-01,2000,4,1,29.93,19.86,40.44,14.39,0.0,2.08,3.74,39.7,93.52,24.37,12.09
2000-04-02,2000,4,2,29.98,22.26,38.42,40.68,0.01,1.97,4.64,62.7,93.63,25.79,12.56
2000-04-03,2000,4,3,29.96,23.23,38.29,38.6,0.01,2.35,4.81,67.2,93.79,25.34,12.65
2000-04-04,2000,4,4,30.69,21.27,40.84,15.78,0.04,2.07,3.86,82.0,93.75,25.16,12.56
2000-04-05,2000,4,5,29.91,22.8,39.06,38.36,0.03,1.93,3.76,99.7,93.76,23.28,11.85
2000-04-06,2000,4,6,30.38,23.21,39.04,42.02,0.14,1.86,3.53,45.1,93.76,25.09,12.44
2000-04-07,2000,4,7,30.29,22.24,40.37,31.78,0.03,1.98,3.72,52.3,93.7,24.32,12.15
2000-04-08,2000,4,8,29.95,21.24,39.23,37.03,0.23,1.69,3.77,17.5,93.67,25.55,12.64
2000-04-09,2000,4,9,30.51,22.93,39.49,44.47,0.27,1.75,2.64,47.0,93.65,24.74,12.28
2000-04-10,2000,4,10,31.46,23.16,41.16,40.98,0.05,2.42,4.51,40.9,93.59,23.54,11.87
2000-04-11,2000,4,11,31.03,23.14,40.47,45.97,0.88,1.94,3.4,91.4,93.61,25.78,12.83
2000-04-12,2000,4,12,31.01,23.41,39.92,44.87,0.24,1.77,3.15,97.3,93.62,25.94,12.93
