DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,21.64,12.51,32.91,24.95,0.0,0.81,1.56,0.7,95.94,18.73,9.17
2000-01-02,2000,1,2,22.91,14.06,33.85,22.98,0.0,1.07,1.62,0.0,95.9,18.11,8.98
2000-01-03,2000,1,3,22.49,13.62,32.78,17.72,0.0,1.3,2.03,62.0,95.9,17.15,8.34
2000-01-04,2000,1,4,21.23,13.75,30.34,29.14,0.0,1.37,2.08,3.1,95.96,20.37,9.82
2000-01-05,2000,1,5,20.53,13.51,29.38,34.41,0.0,1.34,2.22,7.4,96.0,20.49,9.99
2000-01-06,2000,1,6,20.66,12.86,30.16,34.19,0.0,1.25,2.12,22.1,96.02,18.68,9.32
2000-01-07,2000,1,7,20.61,12.87,29.9,33.11,0.0,1.35,2.21,3.7,96.12,21.06,10.27
2000-01-08,2000,1,8,20.49,12.88,30.4,34.73,0.0,1.35,2.45,21.6,96.16,19.18,9.56
2000-01-09,2000,1,9,20.56,12.72,30.14,34.13,0.0,1.27,2.33,0.3,96.13,21.01,10.3
2000-01-10,2000,1,10,21.29,13.2,30.76,32.03,0.0,1.36,2.23,72.8,96.11,18.7,9.45
2000-01-11,2000,1,11,21.78,13.66,31.86,28.65,0.0,1.35,2.3,0.0,96.1,20.22,10.07
2000-01-12,2000,1,12,21.82,13.06,32.88,26.12,0.0,1.03,1.89,1.2,95.98,19.86,9.98
2000-01-13,2000,1,13,23.82,13.27,34.61,25.51,0.0,0.78,1.38,0.3,95.82,21.06,10.39
2000-01-14,2000,1,14,25.06,16.27,35.72,24.26,0.0,0.64,1.03,17.9,95.71,20.91,10.36
2000-01-15,2000,1,15,24.29,15.72,35.22,26.4,0.0,0.95,1.78,0.0,95.87,20.25,10.17
2000-01-16,2000,1,16,24.54,15.98,34.53,25.28,0.0,1.49,2.54,3.7,96.06,20.71,10.33
2000-01-17,2000,1,17,23.46,15.82,33.36,26.64,0.0,1.4,2.7,44.1,96.1,15.29,8.07
2000-01-18,2000,1,18,22.89,14.01,33.56,26.12,0.0,1.22,2.27,47.5,96.07,17.89,8.18
2000-01-19,2000,1,19,23.49,14.51,34.29,24.41,0.0,1.2,2.19,55.4,96.07,16.26,9.02
2000-01-20,2000,1,20,23.8,14.48,34.47,22.97,0.0,1.37,2.33,22.3,96.16,16.46,9.1
2000-01-21,2000,1,21,24.61,15.45,35.18,22.98,0.0,1.5,2.73,4.3,96.11,20.69,10.39
2000-01-22,2000,1,22,25.18,15.72,35.87,20.77,0.0,1.33,2.48,3.0,96.01,21.55,10.49
2000-01-23,2000,1,23,25.72,16.92,36.87,18.37,0.0,1.26,2.38,0.0,95.87,20.48,10.23
2000-01-24,2000,1,24,24.53,16.5,34.83,19.91,0.0,0.89,1.81,52.5,95.97,13.46,7.39
2000-01-25,2000,1,25,24.82,16.84,35.68,18.83,0.0,1.27,2.7,2.4,96.09,20.02,10.11
2000-01-26,2000,1,26,25.41,16.03,35.95,16.81,0.0,1.72,3.17,0.0,96.17,19.69,10.13
2000-01-27,2000,1,27,25.28,16.06,35.27,17.69,0.0,2.02,3.59,0.7,96.26,19.11,9.88
2000-01-28,2000,1,28,23.55,16.96,31.65,19.84,0.0,2.01,3.19,24.0,96.32,21.74,10.56
2000-01-29,2000,1,29,20.8,14.91,29.17,18.7,0.0,1.88,3.0,66.2,96.43,15.6,7.66
2000-01-30,2000,1,30,19.43,11.84,29.19,16.68,0.0,1.5,2.41,71.5,96.44,18.65,9.85
2000-01-31,2000,1,31,19.14,11.15,28.21,18.17,0.0,1.68,2.77,78.7,96.57,22.42,10.83
2000-02-01,2000,2,1,18.77,11.51,27.68,20.69,0.0,1.66,2.94,6.6,96.65,19.12,9.9
2000-02-02,2000,2,2,18.69,11.74,27.27,22.14,0.0,1.78,3.06,9.9,96.61,22.06,10.68
2000-02-03,2000,2,3,18.98,11.21,28.31,23.7,0.0,1.52,2.67,13.4,96.48,21.8,10.51
2000-02-04,2000,2,4,19.88,12.64,29.07,24.21,0.0,1.4,2.44,3.5,96.44,21.48,10.39
2000-02-05,2000,2,5,20.53,12.85,29.89,24.1,0.0,1.4,2.37,0.7,96.39,18.68,9.66
2000-02-06,2000,2,6,20.66,12.52,30.3,19.28,0.0,1.56,2.36,13.6,96.42,15.82,8.99
2000-02-07,2000,2,7,20.36,13.26,29.0,21.9,0.0,1.62,2.86,77.5,96.48,18.95,9.9
2000-02-08,2000,2,8,20.24,12.3,29.52,26.12,0.0,1.49,2.72,0.1,96.44,17.18,9.31
2000-02-09,2000,2,9,20.02,12.2,28.84,27.95,0.0,1.43,2.3,79.1,96.39,21.73,10.58
2000-02-10,2000,2,10,19.08,11.62,27.89,24.18,0.0,1.64,2.87,9.1,96.37,20.47,10.22
2000-02-11,2000,2,11,18.61,10.83,27.8,19.36,0.0,1.53,2.74,8.3,96.38,18.77,9.82
2000-02-12,2000,2,12,19.25,11.69,28.26,18.91,0.0,1.74,3.16,10.1,96.38,21.71,10.42
2000-02-13,2000,2,13,19.35,11.98,28.37,17.25,0.0,1.6,2.8,1.8,96.34,19.58,10.01
2000-02-14,2000,2,14,20.88,12.17,31.1,17.51,0.0,1.37,2.46,39.2,96.21,20.6,10.25
2000-02-15,2000,2,15,21.38,12.55,31.49,17.56,0.0,1.5,2.42,0.0,96.23,21.28,10.28
2000-02-16,2000,2,16,21.37,12.75,31.24,18.81,0.0,1.66,2.72,0.0,96.23,17.67,9.43
2000-02-17,2000,2,17,21.7,12.84,31.52,19.01,0.0,1.56,2.65,39.7,96.23,21.43,10.38
2000-02-18,2000,2,18,22.02,13.36,31.78,20.21,0.0,1.48,2.65,0.3,96.23,22.61,10.74
2000-02-19,2000,2,19,22.95,14.1,33.19,19.24,0.0,1.46,2.51,0.7,96.22,21.3,10.28
2000-02-20,2000,2,20,24.02,14.31,35.63,19.35,0.0,1.21,2.22,15.9,96.09,21.22,10.33
2000-02-21,2000,2,21,25.64,16.96,36.1,22.18,0.0,1.35,2.41,0.9,96.08,16.86,9.11
2000-02-22,2000,2,22,26.36,17.68,36.69,20.8,0.0,1.66,2.62,0.6,96.08,22.27,10.83
2000-02-23,2000,2,23,25.46,15.92,36.14,17.06,0.0,1.52,2.5,0.0,96.02,24.03,11.1
2000-02-24,2000,2,24,24.04,14.3,35.17,12.4,0.0,1.38,2.27,18.1,96.06,20.6,10.04
2000-02-25,2000,2,25,24.48,15.44,34.88,14.36,0.0,1.52,2.47,0.0,96.15,22.79,11.1
2000-02-26,2000,2,26,21.61,15.21,29.5,17.12,0.0,2.11,3.11,18.9,96.39,20.87,10.28
2000-02-27,2000,2,27,20.3,12.41,29.77,18.49,0.0,1.87,3.07,78.6,96.29,17.11,9.45
2000-02-28,2000,2,28,21.11,13.66,30.84,18.23,0.0,1.75,2.94,60.0,96.31,15.28,8.48
2000-02-29,2000,2,29,22.29,14.18,32.51,19.31,0.0,1.68,2.76,59.7,96.38,22.48,11.21
2000-03-01,2000,3,1,22.29,14.42,31.93,15.36,0.0,1.75,3.06,7.4,96.41,19.45,9.8
2000-03-02,2000,3,2,22.75,15.58,32.51,14.21,0.0,1.76,2.99,20.0,96.32,22.87,10.84
2000-03-03,2000,3,3,22.41,13.74,33.51,12.18,0.0,1.68,3.05,2.9,96.29,20.92,10.01
2000-03-04,2000,3,4,23.17,13.19,34.5,11.79,0.0,1.73,3.2,11.7,96.25,20.79,10.1
2000-03-05,2000,3,5,23.54,14.54,34.24,11.26,0.0,1.85,3.26,18.9,96.25,22.83,11.02
2000-03-06,2000,3,6,23.45,14.04,34.32,11.73,0.0,1.76,3.14,0.0,96.23,21.79,9.98
2000-03-07,2000,3,7,23.88,14.68,33.6,11.5,0.0,1.99,3.48,2.8,96.22,20.39,10.19
2000-03-08,2000,3,8,23.87,16.47,32.66,13.8,0.0,2.05,3.43,34.9,96.31,22.18,10.94
2000-03-09,2000,3,9,22.73,15.47,31.88,15.3,0.0,1.92,3.2,17.5,96.37,23.32,11.1
2000-03-10,2000,3,10,22.87,15.6,31.9,13.0,0.0,1.79,2.87,3.0,96.26,23.85,11.57
2000-03-11,2000,3,11,23.47,16.26,32.19,11.28,0.0,1.68,2.87,13.2,96.21,24.16,11.41
2000-03-12,2000,3,12,23.66,16.66,32.48,11.29,0.0,1.87,3.19,18.3,96.2,21.95,10.66
2000-03-13,2000,3,13,23.94,15.52,33.95,12.58,0.0,1.7,2.99,11.3,96.13,22.42,11.13
2000-03-14,2000,3,14,25.34,17.04,35.33,14.28,0.0,1.59,2.92,54.2,95.98,22.73,11.43
2000-03-15,2000,3,15,25.93,17.36,36.22,14.23,0.0,1.26,2.45,98.8,95.87,18.97,10.0
2000-03-16,2000,3,16,27.52,18.89,38.19,14.66,0.0,1.29,2.01,21.6,95.76,24.14,11.65
2000-03-17,2000,3,17,29.07,20.59,38.97,16.64,0.0,1.37,2.35,55.4,95.65,23.8,11.6
2000-03-18,2000,3,18,30.32,20.55,39.17,20.31,0.01,0.68,1.23,23.5,95.57,23.11,11.16
2000-03-19,2000,3,19,30.23,22.51,38.63,31.87,0.0,0.87,1.31,21.1,95.5,22.99,11.07
2000-03-20,2000,3,20,30.23,22.83,39.68,23.95,0.0,1.17,1.75,39.7,95.49,25.45,12.24
2000-03-21,2000,3,21,28.74,20.57,38.41,13.34,0.0,1.37,2.14,57.2,95.58,26.68,12.9
2000-03-22,2000,3,22,28.91,19.52,39.5,13.83,0.0,1.05,1.76,0.0,95.64,22.92,10.99
2000-03-23,2000,3,23,28.9,19.76,39.42,16.79,0.0,1.06,1.99,47.6,95.65,24.55,12.15
2000-03-24,2000,3,24,28.77,20.06,37.99,17.68,0.0,1.28,1.81,21.6,95.74,24.78,11.87
2000-03-25,2000,3,25,29.43,20.64,38.57,17.48,0.0,1.48,2.47,71.2,95.74,25.79,12.62
2000-03-26,2000,3,26,29.39,21.57,37.92,14.92,0.0,1.73,2.91,20.0,95.75,25.32,12.41
2000-03-27,2000,3,27,29.61,21.59,38.58,13.5,0.0,1.63,2.77,4.3,95.72,22.41,10.6
2000-03-28,2000,3,28,29.92,21.36,39.46,14.96,0.0,1.33,2.42,10.1,95.7,24.82,11.93
2000-03-29,2000,3,29,30.08,22.8,39.81,16.13,0.0,1.36,2.51,36.7,95.73,23.55,11.44
