DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,23.82,15.59,34.17,24.07,0.0,1.38,2.74,0.0,98.09,18.73,9.75
2000-01-02,2000,1,2,24.67,16.78,34.99,22.29,0.0,1.8,3.15,19.4,98.06,18.22,9.6
2000-01-03,2000,1,3,23.75,16.09,33.28,16.62,0.0,2.03,3.41,90.2,98.1,17.44,8.36
2000-01-04,2000,1,4,23.77,17.58,32.25,26.46,0.0,2.17,3.7,0.0,98.11,18.9,9.95
2000-01-05,2000,1,5,23.15,17.0,31.3,30.56,0.0,2.11,3.75,18.9,98.13,19.85,10.26
2000-01-06,2000,1,6,23.36,16.71,32.07,30.99,0.0,1.93,3.75,24.3,98.15,18.31,9.0
2000-01-07,2000,1,7,23.84,17.22,32.49,30.09,0.0,1.98,3.59,6.6,98.22,17.84,9.85
2000-01-08,2000,1,8,23.76,17.38,32.47,31.72,0.0,2.15,4.19,59.2,98.26,20.46,10.51
2000-01-09,2000,1,9,23.44,16.86,32.18,29.96,0.0,2.07,4.0,61.5,98.24,20.02,10.42
2000-01-10,2000,1,10,23.48,16.82,32.01,29.41,0.0,2.33,4.18,17.8,98.23,18.96,10.16
2000-01-11,2000,1,11,24.51,17.01,34.34,28.66,0.0,1.99,3.7,0.0,98.18,18.84,10.23
2000-01-12,2000,1,12,24.96,16.84,34.99,27.39,0.0,1.59,3.33,1.9,98.08,19.5,10.35
2000-01-13,2000,1,13,25.79,17.32,36.11,26.33,0.0,1.12,2.06,0.0,97.97,18.57,10.32
2000-01-14,2000,1,14,26.23,17.76,36.06,27.57,0.0,1.06,1.76,24.6,97.91,20.13,10.5
2000-01-15,2000,1,15,26.78,18.82,36.66,27.74,0.0,1.42,2.33,0.6,98.04,18.63,10.16
2000-01-16,2000,1,16,26.99,18.68,36.79,25.14,0.0,2.07,3.41,12.1,98.19,19.18,10.46
2000-01-17,2000,1,17,26.84,19.77,36.2,25.14,0.0,2.32,4.15,19.1,98.23,17.99,8.61
2000-01-18,2000,1,18,25.76,17.84,35.95,22.17,0.0,1.69,3.67,30.0,98.21,17.03,8.48
2000-01-19,2000,1,19,26.74,17.42,37.18,23.38,0.0,1.62,3.48,43.4,98.14,20.07,8.93
2000-01-20,2000,1,20,27.9,19.2,37.03,22.91,0.0,1.81,3.76,74.7,98.23,15.74,9.11
2000-01-21,2000,1,21,27.54,19.49,37.5,22.64,0.0,1.88,3.6,28.8,98.2,19.38,10.22
2000-01-22,2000,1,22,28.07,20.44,37.84,20.32,0.0,1.97,3.48,17.5,98.12,18.28,9.05
2000-01-23,2000,1,23,27.43,20.89,37.41,20.76,0.0,1.51,2.73,1.2,98.02,16.02,9.16
2000-01-24,2000,1,24,27.08,18.64,37.2,31.73,0.0,1.53,2.83,97.1,98.1,18.17,10.03
2000-01-25,2000,1,25,28.16,19.88,38.5,31.32,0.0,1.52,2.93,5.1,98.21,17.07,8.79
2000-01-26,2000,1,26,28.22,20.57,38.4,16.82,0.0,2.63,4.07,0.1,98.31,15.79,8.57
2000-01-27,2000,1,27,28.12,19.98,37.9,15.84,0.0,3.24,5.41,0.0,98.37,18.07,8.23
2000-01-28,2000,1,28,26.87,20.56,35.22,18.55,0.0,3.11,5.33,38.4,98.44,20.84,10.59
2000-01-29,2000,1,29,24.32,18.25,32.92,15.74,0.0,3.14,5.26,43.8,98.56,16.09,9.52
2000-01-30,2000,1,30,23.66,16.23,32.95,17.89,0.0,2.48,3.88,15.8,98.61,17.06,9.64
2000-01-31,2000,1,31,22.86,16.52,30.75,18.3,0.0,2.93,4.91,58.7,98.74,21.01,10.81
2000-02-01,2000,2,1,21.22,14.23,29.59,19.27,0.0,2.75,4.7,19.7,98.85,18.9,9.94
