DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,28.65,21.85,36.83,45.85,0.0,1.34,2.41,24.9,98.79,15.14,7.12
2000-01-02,2000,1,2,28.84,22.53,36.64,44.78,0.0,1.4,2.57,85.7,98.74,18.38,8.93
2000-01-03,2000,1,3,27.86,21.32,36.11,39.75,0.0,1.7,3.13,5.1,98.71,19.04,9.3
2000-01-04,2000,1,4,27.72,20.4,36.7,35.22,0.0,1.82,2.98,85.0,98.73,20.13,10.01
2000-01-05,2000,1,5,27.33,19.66,36.1,34.92,0.0,1.68,2.91,97.1,98.74,21.62,10.77
2000-01-06,2000,1,6,27.88,20.09,36.83,27.33,0.0,1.75,4.02,85.0,98.77,20.18,10.1
2000-01-07,2000,1,7,28.2,21.63,35.81,27.58,0.0,1.3,2.82,78.1,98.87,21.47,10.66
2000-01-08,2000,1,8,27.22,20.56,35.59,31.72,0.0,1.91,3.65,48.9,98.94,18.79,9.18
2000-01-09,2000,1,9,26.83,19.93,35.24,33.5,0.0,1.8,3.45,7.0,98.94,18.02,8.77
2000-01-10,2000,1,10,27.26,19.5,36.35,32.73,0.0,2.12,4.44,66.8,98.88,20.06,9.98
2000-01-11,2000,1,11,27.75,20.36,36.98,31.49,0.0,2.14,4.76,15.5,98.89,19.09,9.25
2000-01-12,2000,1,12,28.03,19.9,37.47,32.22,0.0,2.11,4.03,0.0,98.82,20.33,10.25
2000-01-13,2000,1,13,29.08,20.34,37.58,42.62,0.0,1.25,2.13,62.1,98.76,21.11,10.57
2000-01-14,2000,1,14,29.56,22.08,37.16,45.57,0.01,1.04,1.77,32.8,98.69,18.8,9.18
2000-01-15,2000,1,15,30.53,23.58,38.13,45.72,0.01,1.43,2.21,40.9,98.75,19.39,9.62
2000-01-16,2000,1,16,30.19,23.15,38.81,44.9,0.0,1.88,3.6,15.7,98.84,19.01,9.32
2000-01-17,2000,1,17,29.55,22.23,38.08,35.9,0.0,2.04,4.78,8.9,98.88,17.7,8.68
2000-01-18,2000,1,18,28.92,21.99,35.73,43.27,0.0,0.85,1.86,99.9,98.96,17.79,8.89
2000-01-19,2000,1,19,29.35,24.16,35.68,55.12,0.0,1.87,3.07,97.4,99.0,16.89,8.48
2000-01-20,2000,1,20,28.72,23.14,34.91,52.29,0.01,1.8,3.43,98.1,99.05,19.93,10.13
2000-01-21,2000,1,21,29.79,22.82,38.25,43.5,0.0,1.7,3.56,11.2,98.95,19.94,10.1
2000-01-22,2000,1,22,30.42,23.31,38.18,51.23,0.0,1.84,3.24,65.6,98.87,20.04,10.27
2000-01-23,2000,1,23,30.72,24.55,37.89,54.39,0.0,2.29,4.86,39.3,98.83,19.75,10.09
2000-01-24,2000,1,24,30.61,24.77,37.11,55.19,0.0,2.38,3.92,30.1,98.93,19.46,9.91
2000-01-25,2000,1,25,31.19,25.27,37.89,52.04,0.0,1.95,3.4,43.8,99.0,19.61,10.11
2000-01-26,2000,1,26,31.28,25.17,39.28,48.02,0.0,2.68,4.61,81.8,98.98,20.96,10.77
2000-01-27,2000,1,27,30.02,22.54,39.21,34.66,0.0,2.68,5.94,24.7,98.99,20.41,10.51
2000-01-28,2000,1,28,28.89,20.98,38.79,18.67,0.0,3.39,7.29,5.1,98.97,20.14,10.22
2000-01-29,2000,1,29,27.78,20.16,36.48,20.69,0.0,2.04,4.71,50.8,99.11,20.67,10.34
2000-01-30,2000,1,30,27.92,19.57,36.2,18.82,0.0,1.3,2.51,60.6,99.19,20.01,10.5
2000-01-31,2000,1,31,27.84,20.15,36.25,19.48,0.0,1.07,2.23,36.7,99.25,17.83,9.28
2000-02-01,2000,2,1,26.8,18.96,35.02,18.18,0.0,1.62,3.43,34.2,99.34,16.38,8.28
2000-02-02,2000,2,2,26.66,17.77,35.74,19.58,0.0,2.16,4.91,3.9,99.26,15.19,7.8
2000-02-03,2000,2,3,27.22,18.49,36.3,21.23,0.0,2.31,4.73,3.1,99.17,13.72,7.34
2000-02-04,2000,2,4,28.55,21.17,36.27,22.02,0.0,1.28,3.28,0.6,99.19,14.85,7.83
2000-02-05,2000,2,5,28.78,21.48,36.35,26.4,0.0,1.37,2.74,1.9,99.17,16.58,8.57
2000-02-06,2000,2,6,28.19,21.85,35.11,28.21,0.0,1.6,2.71,7.4,99.15,16.16,8.52
2000-02-07,2000,2,7,27.88,21.07,36.02,22.28,0.0,1.38,2.51,6.1,99.21,21.46,11.1
2000-02-08,2000,2,8,28.44,19.97,36.78,20.81,0.0,1.08,2.52,8.4,99.17,15.37,7.94
