DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,25.43,18.64,33.08,64.18,0.1,0.99,1.57,56.9,96.88,20.09,9.78
2000-01-02,2000,1,2,26.42,20.53,33.94,59.03,0.05,1.27,2.86,49.6,96.82,17.12,8.03
2000-01-03,2000,1,3,26.12,19.26,34.69,49.47,0.0,1.51,2.24,14.8,96.77,18.97,8.99
2000-01-04,2000,1,4,24.98,17.0,34.33,45.46,0.01,1.59,3.82,95.2,96.78,22.45,10.7
2000-01-05,2000,1,5,24.94,17.02,33.66,44.16,0.01,1.33,3.61,44.1,96.77,19.34,9.37
2000-01-06,2000,1,6,25.0,16.76,34.01,41.25,0.0,1.63,4.12,80.4,96.85,19.65,9.67
2000-01-07,2000,1,7,25.39,17.72,34.28,41.31,0.0,1.52,2.68,15.7,96.93,18.32,8.5
2000-01-08,2000,1,8,24.65,17.03,33.25,45.68,0.0,1.51,3.77,86.5,96.97,18.68,8.99
2000-01-09,2000,1,9,25.79,18.86,33.63,50.55,0.0,1.04,2.03,35.7,96.95,17.15,7.78
2000-01-10,2000,1,10,26.52,20.2,34.67,48.18,0.0,1.17,2.74,21.6,96.92,19.14,9.19
2000-01-11,2000,1,11,26.07,19.05,35.08,51.46,0.0,1.67,3.37,1.4,96.93,16.88,7.46
2000-01-12,2000,1,12,26.55,20.41,35.05,40.8,0.0,1.03,2.42,1.4,96.88,17.32,7.8
2000-01-13,2000,1,13,26.31,19.03,34.83,61.53,0.0,1.69,2.56,31.0,96.83,18.41,8.59
2000-01-14,2000,1,14,27.3,21.62,34.22,65.77,0.0,1.67,3.15,62.3,96.76,19.19,9.48
2000-01-15,2000,1,15,27.93,20.92,35.58,51.97,0.0,1.6,3.18,26.0,96.83,19.51,9.56
2000-01-16,2000,1,16,27.65,20.17,36.11,53.94,0.17,1.58,3.32,2.4,96.92,19.63,9.63
2000-01-17,2000,1,17,27.72,20.77,36.5,43.72,0.01,1.52,3.97,0.0,96.93,17.27,7.71
2000-01-18,2000,1,18,26.53,21.56,33.53,66.7,0.39,2.27,3.72,86.5,97.03,20.03,9.92
2000-01-19,2000,1,19,26.85,21.77,33.74,68.66,0.73,2.5,3.56,91.3,97.05,19.12,9.66
2000-01-20,2000,1,20,27.07,22.49,33.19,66.71,0.59,1.59,3.01,95.7,97.09,21.65,10.53
2000-01-21,2000,1,21,27.29,20.97,35.0,62.99,0.0,1.39,3.19,16.7,97.03,18.48,8.84
2000-01-22,2000,1,22,26.98,20.6,34.68,66.21,0.0,2.03,3.41,71.4,96.97,21.72,10.57
2000-01-23,2000,1,23,26.09,22.32,31.01,76.53,0.0,2.9,3.92,10.6,96.94,19.7,9.75
2000-01-24,2000,1,24,26.24,22.9,31.25,75.97,0.0,2.99,4.68,61.8,97.03,21.27,10.45
2000-01-25,2000,1,25,27.15,22.12,33.37,68.33,0.0,1.69,3.62,28.8,97.09,21.24,10.58
2000-01-26,2000,1,26,27.85,20.7,37.14,58.02,0.0,1.93,3.93,55.4,97.05,21.24,10.45
2000-01-27,2000,1,27,27.65,21.31,36.89,48.68,0.0,2.02,4.67,3.6,97.05,20.56,10.12
2000-01-28,2000,1,28,27.04,18.67,37.15,30.84,0.0,2.63,5.22,0.9,97.05,19.63,9.62
2000-01-29,2000,1,29,25.05,17.71,34.34,31.15,0.0,2.48,5.77,38.0,97.17,17.9,8.38
