DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,23.56,14.73,33.69,18.95,0.0,2.13,4.17,1.5,97.74,20.64,10.0
2000-01-02,2000,1,2,23.92,16.07,34.19,17.52,0.0,2.91,5.03,29.6,97.72,19.5,9.46
2000-01-03,2000,1,3,22.93,15.17,31.79,15.01,0.0,3.11,5.37,53.0,97.76,20.88,10.08
2000-01-04,2000,1,4,23.12,17.01,31.29,26.74,0.0,3.5,5.87,18.7,97.77,20.51,9.93
2000-01-05,2000,1,5,22.68,16.33,30.58,29.73,0.0,3.37,5.86,62.0,97.79,22.06,10.48
2000-01-06,2000,1,6,22.95,16.3,31.23,29.96,0.0,3.18,5.79,16.5,97.81,19.33,9.11
2000-01-07,2000,1,7,23.35,16.88,31.43,29.16,0.0,3.17,5.57,31.7,97.88,20.41,9.97
2000-01-08,2000,1,8,23.25,16.99,31.51,31.14,0.0,3.41,6.35,63.2,97.92,21.43,10.43
2000-01-09,2000,1,9,22.83,16.18,31.39,28.81,0.0,3.28,5.94,66.9,97.9,21.33,10.27
2000-01-10,2000,1,10,22.87,16.18,31.15,28.18,0.0,3.62,6.4,23.6,97.9,21.3,10.37
2000-01-11,2000,1,11,23.82,16.45,33.48,27.25,0.0,3.34,5.89,5.7,97.84,21.52,10.45
2000-01-12,2000,1,12,24.49,16.65,34.02,24.58,0.0,2.66,5.41,3.5,97.73,22.03,10.58
2000-01-13,2000,1,13,25.15,16.8,35.12,24.72,0.0,1.68,3.25,0.0,97.61,21.27,10.31
2000-01-14,2000,1,14,26.13,17.66,35.45,25.88,0.0,1.34,2.5,35.4,97.53,21.67,10.5
2000-01-15,2000,1,15,26.46,18.33,35.99,26.25,0.0,1.88,3.15,1.9,97.68,21.54,10.45
2000-01-16,2000,1,16,26.61,18.4,36.22,23.43,0.0,3.25,5.49,22.4,97.85,21.11,10.48
2000-01-17,2000,1,17,26.27,19.27,35.64,23.36,0.0,3.36,6.04,28.9,97.89,16.73,8.15
2000-01-18,2000,1,18,25.36,17.07,35.18,21.71,0.0,2.54,5.38,35.7,97.86,14.82,8.03
2000-01-19,2000,1,19,26.08,17.34,36.41,22.45,0.0,2.78,5.15,42.1,97.79,17.71,8.73
2000-01-20,2000,1,20,26.81,18.24,36.78,21.42,0.0,2.92,5.42,60.4,97.88,16.56,9.12
2000-01-21,2000,1,21,27.87,20.66,37.11,19.52,0.0,3.77,6.0,31.2,97.86,21.37,10.29
2000-01-22,2000,1,22,27.99,20.6,37.28,18.27,0.0,3.19,5.25,5.7,97.77,22.15,10.52
2000-01-23,2000,1,23,27.14,20.79,36.09,18.95,0.0,2.42,4.03,1.8,97.67,21.4,9.96
2000-01-24,2000,1,24,27.72,18.61,37.33,21.19,0.0,2.34,5.11,75.8,97.74,21.76,10.39
2000-01-25,2000,1,25,27.68,19.41,38.29,19.03,0.0,2.73,5.02,10.3,97.85,19.65,9.31
2000-01-26,2000,1,26,27.73,19.63,37.92,15.06,0.0,4.05,6.24,2.1,97.97,18.28,9.12
2000-01-27,2000,1,27,27.74,19.27,37.41,15.05,0.0,4.89,8.13,0.3,98.05,17.81,9.07
2000-01-28,2000,1,28,26.23,19.85,34.34,17.72,0.0,4.79,7.91,51.6,98.12,21.23,10.26
2000-01-29,2000,1,29,23.51,17.35,31.98,15.28,0.0,4.62,7.64,68.9,98.23,16.84,9.35
2000-01-30,2000,1,30,23.02,15.55,32.17,17.28,0.0,3.63,5.76,57.5,98.26,22.18,10.48
2000-01-31,2000,1,31,22.11,15.83,29.97,17.44,0.0,4.45,7.27,56.4,98.41,21.4,10.29
2000-02-01,2000,2,1,20.44,13.03,28.86,18.06,0.0,4.31,6.98,15.5,98.52,22.84,10.63
2000-02-02,2000,2,2,19.95,12.74,28.74,17.94,0.0,4.28,7.54,11.5,98.47,22.2,10.37
2000-02-03,2000,2,3,20.22,11.95,29.74,20.23,0.0,3.81,7.03,10.7,98.34,20.77,9.94
2000-02-04,2000,2,4,21.04,13.33,30.16,19.86,0.0,3.58,6.53,3.6,98.31,20.04,9.7
2000-02-05,2000,2,5,21.79,13.88,31.03,18.98,0.0,3.31,5.7,1.4,98.25,19.29,9.47
2000-02-06,2000,2,6,21.9,14.0,31.58,15.26,0.0,3.75,6.37,25.5,98.26,21.56,9.75
2000-02-07,2000,2,7,21.47,14.67,30.13,19.45,0.0,4.15,7.68,20.1,98.36,16.81,9.05
2000-02-08,2000,2,8,21.3,13.69,30.3,21.61,0.0,3.63,6.56,1.4,98.32,18.74,8.45
2000-02-09,2000,2,9,20.99,13.59,29.85,18.72,0.0,3.39,5.82,39.3,98.28,18.96,9.48
2000-02-10,2000,2,10,20.07,12.23,29.28,17.45,0.0,3.82,6.94,24.9,98.23,17.65,9.34
2000-02-11,2000,2,11,20.28,12.15,30.03,16.82,0.0,3.41,5.97,1.5,98.22,17.67,9.03
2000-02-12,2000,2,12,20.59,11.79,30.35,15.4,0.0,4.11,7.1,0.3,98.21,19.86,9.56
2000-02-13,2000,2,13,20.62,13.04,29.45,14.63,0.0,3.99,6.94,0.7,98.18,17.12,9.03
2000-02-14,2000,2,14,21.66,13.09,31.63,15.29,0.0,3.16,5.62,0.6,98.07,16.71,9.16
2000-02-15,2000,2,15,22.71,14.6,32.21,13.97,0.0,3.98,6.77,0.3,98.04,22.63,10.53
2000-02-16,2000,2,16,23.02,15.28,32.35,14.46,0.0,3.97,6.67,0.9,98.07,20.22,9.91
2000-02-17,2000,2,17,23.36,15.19,32.62,15.1,0.0,3.58,5.88,0.7,98.04,19.45,9.55
2000-02-18,2000,2,18,23.86,15.75,33.25,16.09,0.0,3.89,6.55,2.1,98.05,22.77,10.23
2000-02-19,2000,2,19,24.57,16.53,33.94,15.69,0.0,3.57,6.29,37.9,98.03,21.74,10.32
2000-02-20,2000,2,20,25.82,16.67,36.26,16.23,0.0,2.9,5.6,2.5,97.89,20.09,9.66
2000-02-21,2000,2,21,27.01,17.75,37.74,18.16,0.0,2.57,4.95,6.3,97.89,22.18,10.0
2000-02-22,2000,2,22,27.99,19.07,38.35,17.73,0.0,3.47,5.96,9.1,97.88,23.23,10.41
2000-02-23,2000,2,23,27.2,19.09,37.23,14.53,0.0,3.37,5.95,1.2,97.83,24.77,11.12
2000-02-24,2000,2,24,26.79,19.3,37.02,11.01,0.0,3.71,5.55,1.8,97.83,23.04,10.93
2000-02-25,2000,2,25,27.08,18.01,37.32,12.33,0.0,3.71,5.68,1.5,97.92,22.79,10.85
2000-02-26,2000,2,26,24.33,17.85,32.66,14.71,0.0,4.86,7.21,43.0,98.14,23.18,10.93
2000-02-27,2000,2,27,22.66,15.15,31.96,15.84,0.0,4.6,7.3,92.5,98.1,19.09,9.9
2000-02-28,2000,2,28,22.84,15.71,31.96,14.96,0.0,4.02,7.25,60.0,98.09,17.33,9.57
2000-02-29,2000,2,29,23.64,15.74,33.02,16.6,0.0,3.43,6.27,60.0,98.17,20.91,10.54
2000-03-01,2000,3,1,24.98,16.33,34.9,13.67,0.0,4.28,7.46,18.5,98.18,22.53,10.72
2000-03-02,2000,3,2,24.56,17.28,34.09,11.19,0.0,4.09,7.2,51.8,98.1,22.37,10.87
2000-03-03,2000,3,3,24.79,15.66,35.95,10.55,0.0,4.05,6.97,4.2,98.06,21.77,9.99
2000-03-04,2000,3,4,25.68,15.95,36.14,9.99,0.0,3.91,7.1,3.0,98.01,20.22,9.75
2000-03-05,2000,3,5,25.88,18.74,36.21,9.67,0.0,4.43,7.52,6.0,98.03,22.21,10.28
2000-03-06,2000,3,6,25.52,16.15,36.38,10.68,0.0,3.87,6.95,1.5,98.04,20.69,9.85
2000-03-07,2000,3,7,26.16,16.95,36.24,10.5,0.0,4.43,7.73,0.9,98.04,22.5,10.67
2000-03-08,2000,3,8,25.16,16.72,34.8,11.56,0.0,4.63,8.33,59.3,98.13,22.56,11.2
2000-03-09,2000,3,9,24.44,16.23,34.04,12.34,0.0,4.64,7.47,10.0,98.19,21.35,10.33
2000-03-10,2000,3,10,24.25,16.0,33.93,11.24,0.0,3.9,6.67,4.8,98.07,22.59,10.33
2000-03-11,2000,3,11,24.25,15.55,34.16,11.5,0.0,3.66,6.59,1.5,98.0,22.44,10.2
2000-03-12,2000,3,12,24.93,16.36,34.59,10.6,0.0,4.44,7.99,2.5,98.01,20.67,10.34
2000-03-13,2000,3,13,26.11,17.88,35.71,12.03,0.0,3.81,7.24,4.4,97.94,22.46,11.1
2000-03-14,2000,3,14,27.11,19.04,36.58,12.99,0.0,3.53,7.02,7.0,97.77,23.17,11.32
2000-03-15,2000,3,15,27.68,19.98,36.98,14.11,0.0,2.7,5.45,96.3,97.66,25.39,12.32
2000-03-16,2000,3,16,29.05,20.34,38.34,16.05,0.0,1.94,3.61,34.2,97.55,25.12,12.08
2000-03-17,2000,3,17,30.46,21.99,39.86,18.18,0.0,1.98,3.69,33.6,97.42,26.02,12.4
2000-03-18,2000,3,18,31.26,22.46,39.69,17.75,0.0,1.01,1.51,88.7,97.37,24.2,11.98
2000-03-19,2000,3,19,29.95,23.23,38.07,17.78,0.0,1.09,2.07,32.9,97.4,24.94,11.91
2000-03-20,2000,3,20,28.84,20.7,38.15,10.81,0.0,2.71,4.08,60.9,97.46,25.56,12.2
2000-03-21,2000,3,21,28.48,21.51,36.61,8.75,0.0,2.83,4.7,24.7,97.52,20.72,10.39
2000-03-22,2000,3,22,29.46,19.91,39.32,8.93,0.0,1.69,2.92,6.8,97.53,19.02,9.51
2000-03-23,2000,3,23,30.27,21.55,39.09,10.93,0.0,1.85,4.02,45.9,97.48,23.56,11.69
2000-03-24,2000,3,24,30.38,21.91,39.28,14.83,0.09,2.49,5.2,14.5,97.52,24.04,11.59
2000-03-25,2000,3,25,31.32,22.83,40.32,13.85,0.0,3.23,5.75,9.3,97.49,24.33,11.51
2000-03-26,2000,3,26,30.99,24.09,38.33,14.5,0.0,3.46,6.02,47.5,97.54,16.9,8.42
2000-03-27,2000,3,27,31.92,23.75,39.52,13.71,0.0,2.37,4.84,47.3,97.53,24.16,11.66
2000-03-28,2000,3,28,32.1,24.75,39.93,15.25,0.0,1.78,4.24,16.7,97.52,25.95,12.19
2000-03-29,2000,3,29,32.05,24.19,41.29,14.61,0.0,2.73,5.62,0.1,97.49,24.52,11.9
2000-03-30,2000,3,30,31.32,22.63,41.49,6.98,0.0,3.79,5.93,1.8,97.52,25.35,12.25
2000-03-31,2000,3,31,30.9,20.71,41.43,5.85,0.0,2.61,5.11,1.7,97.39,25.28,12.21
2000-04-01,2000,4,1,30.27,19.6,41.94,5.41,0.0,2.52,4.46,39.7,97.27,27.59,13.49
2000-04-02,2000,4,2,31.06,19.36,41.38,8.66,0.0,2.29,4.52,40.5,97.33,27.31,13.38
2000-04-03,2000,4,3,32.49,21.85,42.15,10.42,0.0,1.42,2.86,62.8,97.46,20.04,10.07
2000-04-04,2000,4,4,33.22,23.49,43.44,8.4,0.09,1.7,2.65,84.1,97.48,20.52,10.07
2000-04-05,2000,4,5,32.1,22.15,42.43,9.17,0.0,2.59,4.97,48.2,97.46,26.49,13.15
2000-04-06,2000,4,6,32.04,23.22,42.3,10.92,0.0,3.13,5.02,25.5,97.46,26.78,12.26
2000-04-07,2000,4,7,31.9,22.1,42.51,10.67,0.0,2.63,4.19,12.1,97.44,26.59,13.07
2000-04-08,2000,4,8,31.93,22.18,42.58,9.6,0.31,3.06,5.18,2.1,97.4,27.4,13.2
2000-04-09,2000,4,9,32.68,22.64,43.06,13.59,0.0,2.85,5.41,13.3,97.35,26.41,13.13
2000-04-10,2000,4,10,33.74,24.52,43.45,20.59,0.0,2.46,3.86,2.1,97.31,26.4,13.04
2000-04-11,2000,4,11,34.03,23.92,43.11,14.49,0.0,1.84,2.93,51.0,97.3,27.15,13.28
2000-04-12,2000,4,12,34.74,24.77,43.6,12.68,0.0,1.35,2.46,96.5,97.27,22.83,10.96
2000-04-13,2000,4,13,34.73,26.54,43.84,11.31,0.0,1.29,2.51,84.7,97.29,22.41,10.55
2000-04-14,2000,4,14,33.84,23.5,42.64,12.43,0.0,2.14,3.73,1.5,97.41,24.23,11.45
2000-04-15,2000,4,15,33.87,23.74,43.4,11.98,0.0,2.38,4.51,2.1,97.38,24.5,11.66
2000-04-16,2000,4,16,32.77,22.79,42.98,11.02,0.0,2.18,3.5,21.6,97.42,25.4,12.79
2000-04-17,2000,4,17,33.6,23.15,43.08,13.64,0.0,2.05,3.37,20.0,97.4,23.15,10.9
2000-04-18,2000,4,18,33.55,22.86,43.38,8.59,0.0,1.65,3.47,6.6,97.38,24.73,12.25
2000-04-19,2000,4,19,33.79,26.36,42.71,11.48,0.0,1.15,2.21,49.7,97.37,23.33,11.23
2000-04-20,2000,4,20,32.02,23.94,39.93,25.93,0.01,2.33,4.28,88.1,97.45,21.47,10.33
2000-04-21,2000,4,21,33.0,25.96,39.86,37.42,0.44,2.27,3.94,17.9,97.66,24.74,12.29
2000-04-22,2000,4,22,32.4,26.6,37.71,34.66,0.07,1.12,1.63,45.3,97.76,26.07,13.29
2000-04-23,2000,4,23,32.2,23.01,41.77,12.8,0.0,2.2,4.28,28.5,97.68,25.08,12.65
2000-04-24,2000,4,24,32.4,23.34,42.31,8.66,0.0,3.28,5.54,34.7,97.54,22.48,10.58
2000-04-25,2000,4,25,32.58,22.79,41.56,9.84,0.0,2.48,4.96,57.8,97.47,27.77,13.56
2000-04-26,2000,4,26,33.71,24.52,42.23,13.0,0.0,2.22,4.72,18.0,97.46,23.99,11.24
2000-04-27,2000,4,27,33.84,23.44,42.65,9.81,0.01,2.33,5.05,10.1,97.45,20.03,8.67
2000-04-28,2000,4,28,33.8,24.62,41.97,26.15,0.08,1.87,3.56,7.9,97.44,23.55,11.15
2000-04-29,2000,4,29,34.08,26.24,41.72,40.28,0.07,2.75,4.51,60.0,97.52,27.04,13.08
2000-04-30,2000,4,30,34.66,28.93,40.78,38.25,0.41,3.31,4.44,92.5,97.62,20.63,9.74
2000-05-01,2000,5,1,35.59,28.71,42.19,30.9,0.07,2.42,4.13,99.9,97.47,21.72,10.21
2000-05-02,2000,5,2,36.57,29.35,42.96,26.51,0.12,1.63,3.26,39.0,97.39,24.31,12.23
2000-05-03,2000,5,3,36.15,29.0,43.29,27.59,0.17,1.82,3.53,14.3,97.44,25.04,12.4
2000-05-04,2000,5,4,36.32,28.07,44.25,20.42,0.0,1.86,3.07,49.9,97.43,28.29,13.64
2000-05-05,2000,5,5,35.88,27.79,44.23,10.87,0.0,1.63,3.27,2.0,97.35,25.02,12.25
2000-05-06,2000,5,6,34.42,25.38,42.0,23.41,0.0,1.84,4.09,18.7,97.41,24.94,11.91
2000-05-07,2000,5,7,33.8,24.69,43.17,11.86,0.0,2.81,5.46,57.6,97.47,25.37,12.63
2000-05-08,2000,5,8,33.72,24.75,41.17,16.93,0.0,2.33,3.73,60.1,97.63,23.43,11.45
2000-05-09,2000,5,9,35.02,26.68,43.0,12.3,0.0,3.01,5.06,33.8,97.51,23.76,11.51
2000-05-10,2000,5,10,34.43,27.13,42.43,13.71,0.0,3.4,5.58,38.4,97.55,23.79,11.32
2000-05-11,2000,5,11,32.9,23.93,41.62,10.2,0.0,2.6,5.3,20.5,97.59,23.56,10.96
2000-05-12,2000,5,12,33.26,24.49,42.57,11.12,0.0,2.36,4.38,30.0,97.53,23.5,10.93
2000-05-13,2000,5,13,33.65,25.23,41.71,14.33,0.0,2.2,4.29,34.0,97.54,24.46,11.88
2000-05-14,2000,5,14,34.65,26.6,41.76,20.7,0.0,1.5,3.94,35.8,97.57,23.69,11.07
2000-05-15,2000,5,15,35.13,27.66,41.97,25.14,0.0,1.67,3.7,42.9,97.64,24.51,11.8
2000-05-16,2000,5,16,34.84,27.27,42.89,16.59,0.0,1.44,3.39,24.9,97.63,22.25,9.91
2000-05-17,2000,5,17,34.1,25.35,42.29,22.34,0.08,1.65,3.6,49.0,97.62,25.21,12.22
2000-05-18,2000,5,18,34.12,27.79,40.81,41.07,0.61,3.19,4.66,9.5,97.66,26.54,12.86
2000-05-19,2000,5,19,35.13,28.5,41.49,38.6,0.42,2.87,3.98,19.7,97.65,26.0,12.86
2000-05-20,2000,5,20,36.18,29.72,42.44,31.29,0.66,2.09,3.34,7.6,97.56,25.32,12.34
2000-05-21,2000,5,21,35.24,27.85,42.9,36.16,0.41,2.0,3.41,6.2,97.52,25.42,12.36
2000-05-22,2000,5,22,34.74,28.43,41.71,44.52,0.83,3.76,5.22,6.8,97.66,25.5,12.4
2000-05-23,2000,5,23,34.28,27.87,41.29,46.2,0.5,3.3,5.72,29.7,97.79,20.66,9.19
2000-05-24,2000,5,24,34.16,28.09,40.16,42.68,0.07,3.17,5.42,33.6,97.81,25.55,12.51
2000-05-25,2000,5,25,33.68,27.52,40.02,41.25,0.5,3.53,5.65,0.4,97.78,25.25,12.15
2000-05-26,2000,5,26,32.91,27.4,39.66,44.28,0.18,4.44,5.64,7.2,97.7,25.39,12.26
2000-05-27,2000,5,27,32.26,26.76,38.21,45.27,0.0,3.66,4.77,99.1,97.72,19.28,8.73
2000-05-28,2000,5,28,33.75,27.03,40.2,38.87,0.08,3.04,4.64,29.7,97.68,27.03,13.17
