DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,24.38,15.49,34.53,20.74,0.0,2.69,4.72,7.4,96.33,19.19,8.24
2000-01-02,2000,1,2,25.32,16.6,35.39,21.42,0.0,3.03,4.65,7.0,96.26,21.91,9.7
2000-01-03,2000,1,3,24.35,16.24,34.27,17.7,0.0,3.43,5.32,3.3,96.26,21.02,9.12
2000-01-04,2000,1,4,23.38,15.13,32.95,22.57,0.0,3.71,4.9,0.0,96.31,20.98,9.04
2000-01-05,2000,1,5,22.43,15.53,31.17,28.93,0.0,4.01,6.24,99.9,96.37,23.0,10.26
2000-01-06,2000,1,6,22.34,15.09,31.35,29.68,0.0,3.22,4.99,78.3,96.41,18.56,8.33
2000-01-07,2000,1,7,22.23,15.22,30.99,29.19,0.0,3.89,5.92,62.7,96.5,20.9,9.12
2000-01-08,2000,1,8,21.87,14.67,30.94,28.41,0.0,3.53,6.46,85.3,96.56,22.94,10.18
2000-01-09,2000,1,9,22.36,14.51,31.25,28.74,0.0,3.3,6.05,6.6,96.53,21.08,9.18
2000-01-10,2000,1,10,23.58,15.84,32.9,27.31,0.0,3.66,5.55,54.6,96.5,21.28,9.25
2000-01-11,2000,1,11,23.62,15.93,33.14,24.42,0.0,3.66,5.85,13.7,96.51,20.29,8.86
2000-01-12,2000,1,12,24.18,15.56,34.08,22.31,0.0,3.13,5.08,2.8,96.37,20.36,8.86
2000-01-13,2000,1,13,25.19,15.84,34.77,22.58,0.0,2.26,4.6,2.5,96.25,21.52,9.44
2000-01-14,2000,1,14,26.62,17.58,36.45,20.91,0.0,1.79,2.74,1.5,96.14,21.33,9.36
2000-01-15,2000,1,15,26.48,17.62,36.6,20.62,0.0,2.73,5.06,0.3,96.27,21.57,9.55
2000-01-16,2000,1,16,26.27,17.8,35.81,20.77,0.0,3.91,6.19,1.7,96.44,19.01,8.29
2000-01-17,2000,1,17,25.11,17.92,34.16,22.47,0.0,4.12,7.34,32.6,96.46,20.4,9.11
2000-01-18,2000,1,18,24.21,15.97,33.78,22.24,0.0,3.21,5.8,99.3,96.47,20.27,9.18
2000-01-19,2000,1,19,24.77,17.18,33.65,20.11,0.0,3.19,5.7,19.6,96.5,22.47,9.99
2000-01-20,2000,1,20,26.41,18.01,36.06,18.41,0.0,3.9,6.09,86.0,96.56,21.2,9.65
2000-01-21,2000,1,21,26.82,18.99,36.28,18.49,0.0,4.72,7.55,7.9,96.5,18.46,7.97
2000-01-22,2000,1,22,26.89,18.22,37.03,16.32,0.0,4.18,7.33,7.8,96.41,19.38,8.62
2000-01-23,2000,1,23,26.9,17.7,37.51,14.1,0.0,3.25,6.1,2.4,96.3,19.6,8.61
2000-01-24,2000,1,24,27.33,18.46,37.79,13.82,0.0,2.87,5.4,36.0,96.34,22.15,9.82
2000-01-25,2000,1,25,26.94,18.28,36.57,14.33,0.0,3.35,5.97,49.0,96.48,21.91,9.78
2000-01-26,2000,1,26,27.24,19.35,36.97,13.5,0.0,4.23,7.19,7.5,96.55,13.63,7.08
2000-01-27,2000,1,27,26.46,17.86,36.14,15.71,0.0,4.98,8.04,3.7,96.63,14.33,7.09
2000-01-28,2000,1,28,24.47,18.09,32.29,17.48,0.0,5.73,8.37,4.1,96.7,13.27,6.96
2000-01-29,2000,1,29,21.3,14.56,29.46,17.82,0.0,4.9,7.46,84.7,96.8,21.22,9.87
2000-01-30,2000,1,30,20.1,12.8,29.08,13.92,0.0,3.69,5.75,74.0,96.83,21.1,9.49
2000-01-31,2000,1,31,20.06,12.23,29.05,14.41,0.0,4.02,6.64,65.6,96.94,19.05,9.06
2000-02-01,2000,2,1,20.16,13.04,28.71,17.88,0.0,4.17,7.37,44.8,97.02,22.42,10.14
2000-02-02,2000,2,2,20.67,13.65,28.93,20.1,0.0,4.59,7.57,41.9,96.96,21.96,10.03
2000-02-03,2000,2,3,21.27,14.34,29.73,20.58,0.0,3.84,6.69,0.6,96.86,20.18,8.91
2000-02-04,2000,2,4,22.18,15.07,30.86,21.17,0.0,3.78,6.16,0.3,96.82,18.79,8.99
2000-02-05,2000,2,5,22.39,14.57,31.25,20.4,0.0,3.76,6.23,0.0,96.77,19.94,9.48
2000-02-06,2000,2,6,22.28,14.78,30.1,18.29,0.0,3.9,6.31,0.0,96.81,20.77,9.17
2000-02-07,2000,2,7,22.04,14.96,30.44,19.5,0.0,3.92,6.5,78.4,96.83,21.1,9.98
