DATE,YEAR,MONTH,DAY,temp_mean,temp_min,temp_max,humidity,precipitation,wind_speed,wind_gust,cloud_cover,pressure,global_radiation,sunshine
2000-01-01,2000,1,1,23.17,15.74,33.05,24.91,0.0,2.64,5.16,3.1,94.93,18.72,9.43
2000-01-02,2000,1,2,23.94,16.33,33.82,23.54,0.0,3.21,5.38,6.0,94.9,18.61,9.23
2000-01-03,2000,1,3,23.33,16.41,32.07,17.28,0.0,3.82,6.23,87.6,94.9,12.75,7.32
2000-01-04,2000,1,4,22.04,15.34,30.91,27.53,0.0,4.08,6.8,15.5,94.92,20.48,9.79
2000-01-05,2000,1,5,21.39,14.62,30.17,32.09,0.0,4.13,6.95,17.8,94.96,18.67,9.61
2000-01-06,2000,1,6,21.56,14.45,30.65,32.05,0.0,3.76,6.83,16.0,94.98,16.94,8.91
2000-01-07,2000,1,7,21.64,14.99,30.31,30.87,0.0,3.99,6.85,9.1,95.07,19.5,10.01
2000-01-08,2000,1,8,21.47,14.54,30.76,31.56,0.0,4.11,7.48,89.7,95.11,12.35,7.31
2000-01-09,2000,1,9,21.36,14.23,30.35,31.68,0.0,3.88,6.89,51.9,95.09,19.82,10.12
2000-01-10,2000,1,10,22.08,15.32,30.92,29.61,0.0,4.19,6.91,48.0,95.07,19.81,10.31
2000-01-11,2000,1,11,22.66,15.23,32.39,27.76,0.0,4.21,6.94,15.1,95.06,21.2,10.69
2000-01-12,2000,1,12,23.12,15.38,32.96,25.46,0.0,3.18,5.88,0.3,94.96,21.24,10.65
2000-01-13,2000,1,13,24.8,16.16,34.41,24.55,0.0,2.08,4.34,0.9,94.83,20.37,10.45
2000-01-14,2000,1,14,26.01,18.43,34.61,24.41,0.0,1.05,2.26,10.0,94.75,20.06,10.39
2000-01-15,2000,1,15,25.37,16.96,35.15,25.55,0.0,2.52,4.75,0.0,94.89,20.92,10.55
2000-01-16,2000,1,16,25.61,18.26,34.83,23.74,0.0,4.33,7.05,0.0,95.06,18.18,10.02
2000-01-17,2000,1,17,24.62,17.54,34.14,24.41,0.0,4.04,7.31,31.7,95.09,15.62,9.18
2000-01-18,2000,1,18,24.14,15.95,34.22,23.17,0.0,3.49,5.97,38.0,95.06,16.27,9.09
2000-01-19,2000,1,19,25.01,17.18,34.85,22.17,0.0,3.89,6.9,58.4,95.05,15.56,9.06
2000-01-20,2000,1,20,25.68,17.52,35.08,20.69,0.0,4.2,6.56,40.9,95.14,17.86,9.88
2000-01-21,2000,1,21,26.24,20.26,34.97,19.96,0.0,4.87,7.4,25.7,95.11,21.07,10.78
2000-01-22,2000,1,22,26.33,19.54,35.42,19.1,0.0,4.29,7.14,0.3,95.01,20.04,10.38
2000-01-23,2000,1,23,26.72,18.77,36.48,18.1,0.0,3.51,6.3,0.0,94.89,21.11,10.64
2000-01-24,2000,1,24,26.08,18.21,34.58,19.06,0.0,2.88,4.92,96.0,94.99,20.63,10.56
2000-01-25,2000,1,25,26.52,19.49,36.6,17.06,0.0,3.59,6.47,3.4,95.1,20.09,10.56
2000-01-26,2000,1,26,26.36,18.69,36.17,15.16,0.0,4.93,7.46,2.1,95.18,20.07,9.84
