State,Capital,Latitude,Longitude,R2,MAE,RMSE,Next_Day_Forecast_mm,Rain_Likely
Abia,Umuahia,5.532,7.486,0.106,3.8053,6.9403,2.826,YES
Adamawa,Yola,9.2035,12.4954,0.0948,2.3839,6.6779,0.022,No
Akwa Ibom,Uyo,5.0377,7.9128,0.0753,6.222,13.0461,3.515,YES
Anambra,Awka,6.21,7.07,0.1225,3.9283,7.1728,1.345,YES
Bauchi,Bauchi,10.3158,9.8442,0.0423,4.3854,16.5142,0.038,No
Bayelsa,Yenagoa,4.9267,6.2676,0.0467,5.7287,12.339,3.225,YES
Benue,Makurdi,7.7337,8.5213,0.0639,3.0675,7.4011,0.585,No
Borno,Maiduguri,11.8333,13.15,0.1324,1.421,4.1918,0.009,No
Cross River,Calabar,4.9757,8.3417,0.0767,6.2212,13.0364,4.319,YES
Delta,Asaba,6.1948,6.7354,0.1251,3.9187,7.1624,1.347,YES
Ebonyi,Abakaliki,6.3249,8.1137,0.0714,2.4162,5.3536,1.014,YES
Edo,Benin City,6.335,5.627,0.1735,3.6337,6.2592,1.067,YES
Ekiti,Ado-Ekiti,7.6217,5.2216,0.0861,4.0288,8.3436,1.623,YES
Enugu,Enugu,6.4584,7.5464,0.1355,2.813,5.4484,0.866,No
FCT,Abuja,9.0579,7.4951,0.1646,2.8293,7.0051,0.068,No
Gombe,Gombe,10.2897,11.1673,0.0582,3.9938,15.3236,0.018,No
Imo,Owerri,5.4836,7.0333,0.0953,4.5436,8.6348,4.043,YES
Jigawa,Dutse,11.7904,9.3417,0.0327,2.895,10.7518,0.015,No
Kaduna,Kaduna,10.5105,7.4165,0.0214,8.7701,31.7045,0.117,No
Kano,Kano,12.0022,8.592,0.0747,2.9305,10.3433,0.018,No
Kebbi,Birnin Kebbi,12.4539,4.1975,0.0218,3.2996,22.0825,0.024,No
Kogi,Lokoja,7.7975,6.7392,0.0789,3.0686,7.7939,0.283,No
Kwara,Ilorin,8.5,4.55,0.1811,3.1812,6.154,0.361,No
Sokoto,Sokoto,13.0622,5.2339,-0.1779,4.4196,14.0167,0.01,No
Yobe,Damaturu,11.7471,11.9608,0.0773,2.3168,9.9938,0.014,No
Zamfara,Gusau,12.1704,6.6649,0.1086,2.4498,7.7732,0.017,No
