State,Capital,Latitude,Longitude,Day1_Thu 18 Jun_mm,Day1_Rain,Day2_Fri 19 Jun_mm,Day2_Rain,Day3_Sat 20 Jun_mm,Day3_Rain,Day4_Sun 21 Jun_mm,Day4_Rain,Day5_Mon 22 Jun_mm,Day5_Rain,Day6_Tue 23 Jun_mm,Day6_Rain,Day7_Wed 24 Jun_mm,Day7_Rain,Week1_Avg_mm,Week1_Total_mm,Week1_RainDays,Day8_Thu 25 Jun_mm,Day8_Rain,Day9_Fri 26 Jun_mm,Day9_Rain,Day10_Sat 27 Jun_mm,Day10_Rain,Day11_Sun 28 Jun_mm,Day11_Rain,Day12_Mon 29 Jun_mm,Day12_Rain,Day13_Tue 30 Jun_mm,Day13_Rain,Day14_Wed 01 Jul_mm,Day14_Rain,Week2_Avg_mm,Week2_Total_mm,Week2_RainDays,Hourly_Peak_Time,Hourly_Peak_mm,Hourly_Total_Est_mm
Abia,Umuahia,5.532,7.486,3.068,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.665,25.652,7,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,YES,3.764,26.348,7,17:00,0.3052,3.068
Adamawa,Yola,9.2035,12.4954,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,0.172,0,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,No,0.025,0.172,0,17:00,0.0024,0.025
Akwa Ibom,Uyo,5.0377,7.9128,5.38,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.456,24.189,7,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,YES,3.135,21.945,7,17:00,0.5351,5.38
Anambra,Awka,6.21,7.07,1.294,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.327,9.289,7,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,YES,1.332,9.327,7,17:00,0.1287,1.294
Bauchi,Bauchi,10.3158,9.8442,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,0.449,0,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,No,0.064,0.449,0,17:00,0.0064,0.064
Bayelsa,Yenagoa,4.9267,6.2676,3.42,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.317,23.216,7,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,YES,3.299,23.094,7,17:00,0.3403,3.42
Benue,Makurdi,7.7337,8.5213,0.526,No,0.518,No,0.518,No,0.518,No,0.518,No,0.518,No,0.518,No,0.519,3.636,0,0.518,No,0.518,No,0.518,No,0.518,No,0.518,No,0.518,No,0.518,No,0.518,3.628,0,17:00,0.0524,0.526
Borno,Maiduguri,11.8333,13.15,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,0.069,0,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,No,0.01,0.069,0,17:00,0.001,0.01
Cross River,Calabar,4.9757,8.3417,5.982,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.562,38.932,7,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,YES,5.492,38.441,7,17:00,0.5951,5.982
Delta,Asaba,6.1948,6.7354,1.31,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.382,9.675,7,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,YES,1.394,9.76,7,17:00,0.1303,1.31
Ebonyi,Abakaliki,6.3249,8.1137,0.771,No,0.759,No,0.759,No,0.759,No,0.759,No,0.759,No,0.759,No,0.76,5.322,0,0.759,No,0.759,No,0.759,No,0.759,No,0.759,No,0.759,No,0.759,No,0.759,5.31,0,17:00,0.0767,0.771
Edo,Benin City,6.335,5.627,1.169,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.189,8.321,7,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,YES,1.192,8.344,7,17:00,0.1162,1.169
