,KWARA_temp_mean,KWARA_temp_min,KWARA_temp_max,KWARA_humidity,KWARA_wind_speed,KWARA_wind_gust,KWARA_cloud_cover,KWARA_pressure,KWARA_global_radiation,KWARA_sunshine,KWARA_precipitation
KWARA_temp_mean,1.0,0.65,0.75,-0.17,0.1,0.01,-0.04,-0.59,0.37,0.37,-0.21
KWARA_temp_min,0.65,1.0,0.01,0.57,0.25,0.07,0.52,-0.24,-0.03,0.06,0.21
KWARA_temp_max,0.75,0.01,1.0,-0.72,0.01,0.03,-0.5,-0.58,0.51,0.42,-0.45
KWARA_humidity,-0.17,0.57,-0.72,1.0,0.12,-0.04,0.68,0.29,-0.35,-0.22,0.47
KWARA_wind_speed,0.1,0.25,0.01,0.12,1.0,0.89,0.25,-0.09,-0.05,-0.03,0.05
KWARA_wind_gust,0.01,0.07,0.03,-0.04,0.89,1.0,0.15,-0.04,-0.06,-0.06,0.02
KWARA_cloud_cover,-0.04,0.52,-0.5,0.68,0.25,0.15,1.0,0.17,-0.56,-0.47,0.4
KWARA_pressure,-0.59,-0.24,-0.58,0.29,-0.09,-0.04,0.17,1.0,-0.37,-0.33,0.22
KWARA_global_radiation,0.37,-0.03,0.51,-0.35,-0.05,-0.06,-0.56,-0.37,1.0,0.97,-0.31
KWARA_sunshine,0.37,0.06,0.42,-0.22,-0.03,-0.06,-0.47,-0.33,0.97,1.0,-0.24
KWARA_precipitation,-0.21,0.21,-0.45,0.47,0.05,0.02,0.4,0.22,-0.31,-0.24,1.0
